dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,homo,CBCC_C=2,-sigma,3,4,0,-1,0.8466195761856711,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,4,0,-1,0.8456104944500504,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,4,0,-1,0.8415741675075681,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,4,1,-1,0.8435923309788093,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,4,1,-1,0.8466195761856711,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,4,1,-1,0.8486377396569122,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,4,2,-1,0.8456104944500504,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,4,2,-1,0.8466195761856711,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,4,2,-1,0.8466195761856711,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,4,3,-1,0.8456104944500504,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,4,3,-1,0.6215943491422805,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,4,3,-1,0.8395560040363269,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,4,4,-1,0.8446014127144299,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,4,4,-1,0.8466195761856711,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,4,4,-1,0.8476286579212916,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,8,0,-1,0.958627648839556,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,8,0,-1,0.9596367305751766,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,8,0,-1,0.958627648839556,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,8,1,-1,0.9596367305751766,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,8,1,-1,0.9596367305751766,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,8,1,-1,0.958627648839556,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,8,2,-1,0.958627648839556,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,8,2,-1,0.9596367305751766,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,8,2,-1,0.958627648839556,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,8,3,-1,0.958627648839556,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,8,3,-1,0.958627648839556,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,8,3,-1,0.958627648839556,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,8,4,-1,0.9616548940464178,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,8,4,-1,0.958627648839556,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,8,4,-1,0.9606458123107972,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,12,0,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,12,0,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,12,0,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,12,1,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,12,1,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,12,1,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,12,2,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,12,2,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,12,2,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,12,3,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,12,3,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,12,3,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,12,4,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,12,4,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,12,4,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,16,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,16,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,16,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,16,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,16,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,16,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,16,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,16,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,16,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,16,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,16,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,16,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,16,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,16,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,16,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,20,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,20,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,20,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,20,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,20,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,20,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,20,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,20,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,20,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,20,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,20,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,20,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,20,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,20,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,20,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,24,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,24,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,24,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,24,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,24,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,24,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,24,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,24,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,24,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,24,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,24,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,24,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,24,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,24,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,24,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,28,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,28,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,28,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,28,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,28,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,28,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,28,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,28,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,28,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,28,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,28,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,28,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=2,-sigma,3,28,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=4,-sigma,3,28,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,CBCC_C=8,-sigma,3,28,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
