dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,CBCC_C=2,mean,10,3,0,-1,0.8599752168525403,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,3,0,-1,0.9392812887236679,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,3,0,-1,0.9318463444857497,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,3,1,-1,0.9144981412639405,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,3,1,-1,0.9318463444857497,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,3,1,-1,0.9144981412639405,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,3,2,-1,0.9107806691449815,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,3,2,-1,0.9380421313506815,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,3,2,-1,0.9219330855018587,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,3,3,-1,0.9033457249070632,0.9069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,3,3,-1,0.9033457249070632,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,3,3,-1,0.9244114002478315,0.9011627906976745,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,3,4,-1,0.9120198265179678,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,3,4,-1,0.8798017348203222,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,3,4,-1,0.919454770755886,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,6,0,-1,0.9380421313506815,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,6,0,-1,0.9975216852540273,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,6,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,6,1,-1,0.9615861214374225,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,6,1,-1,0.9541511771995044,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,6,1,-1,0.9975216852540273,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,6,2,-1,0.9504337050805453,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,6,2,-1,0.9504337050805453,0.9651162790697675,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,6,2,-1,0.9851301115241635,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,6,3,-1,0.9318463444857497,0.9941860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,6,3,-1,0.9776951672862454,0.9941860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,6,3,-1,0.9913258983890955,0.9941860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,6,4,-1,0.9417596034696406,0.9941860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,6,4,-1,0.9690210656753407,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,6,4,-1,0.9876084262701363,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,9,0,-1,0.9553903345724907,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,9,0,-1,0.9962825278810409,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,mean,10,9,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,mean,10,9,1,-1,0.952912019826518,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,mean,10,9,1,-1,0.9752168525402726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
