dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,CBCC_M=2,-sigma,5,3,0,-1,0.46096654275092935,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,3,0,-1,0.4399008674101611,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,3,0,-1,0.45848822800495664,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,3,1,-1,0.5464684014869888,0.1511627906976744,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,3,1,-1,0.459727385377943,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,3,1,-1,0.46220570012391576,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,3,2,-1,0.45724907063197023,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,3,2,-1,0.862453531598513,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,3,2,-1,0.45724907063197023,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,3,3,-1,0.5464684014869888,0.1511627906976744,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,3,3,-1,0.3073110285006196,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,3,3,-1,0.8661710037174721,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,3,4,-1,0.13506815365551425,0.14534883720930233,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,3,4,-1,0.459727385377943,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,3,4,-1,0.46096654275092935,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,6,0,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,6,0,-1,0.9268897149938042,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,6,0,-1,0.9256505576208178,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,6,1,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,6,1,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,6,1,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,6,2,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,6,2,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,6,2,-1,0.9244114002478315,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,6,3,-1,0.8698884758364313,0.5406976744186046,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,6,3,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,6,3,-1,0.9256505576208178,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,6,4,-1,0.9268897149938042,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,6,4,-1,0.9244114002478315,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,6,4,-1,0.9268897149938042,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,9,0,-1,0.966542750929368,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,9,0,-1,0.9603469640644362,0.9069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,9,0,-1,0.9640644361833953,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,9,1,-1,0.9653035935563816,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,9,1,-1,0.9603469640644362,0.9069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,9,1,-1,0.966542750929368,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,9,2,-1,0.966542750929368,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,9,2,-1,0.5662949194547707,0.06395348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,9,2,-1,0.9640644361833953,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,9,3,-1,0.966542750929368,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,9,3,-1,0.9640644361833953,0.9069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,9,3,-1,0.966542750929368,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,9,4,-1,0.966542750929368,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,9,4,-1,0.9653035935563816,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,9,4,-1,0.9628252788104089,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,12,0,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,12,0,-1,0.5154894671623296,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,12,0,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,12,1,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,12,1,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,12,1,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,12,2,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,12,2,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,12,2,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,12,3,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,12,3,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,12,3,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,12,4,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,12,4,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,12,4,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,15,0,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,15,0,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,15,0,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,15,1,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,15,1,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,15,1,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,15,2,-1,0.5117719950433705,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,15,2,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,15,2,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,15,3,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,15,3,-1,0.5130111524163569,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,15,3,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,15,4,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,15,4,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,15,4,-1,0.5142503097893433,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,18,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,18,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,18,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,18,1,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,18,1,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,18,1,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,18,2,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,18,2,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,18,2,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,18,3,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=4,-sigma,5,18,3,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=8,-sigma,5,18,3,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_M=2,-sigma,5,18,4,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
