dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,CBCC_M=2,max,10,3,0,-1,0.8587360594795539,0.7616279069767442,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,3,0,-1,0.9330855018587361,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,3,0,-1,0.8983890954151177,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,3,1,-1,0.8562577447335812,0.7441860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,3,1,-1,0.9318463444857497,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,3,1,-1,0.8872366790582404,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,3,2,-1,0.8599752168525403,0.7674418604651163,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,3,2,-1,0.8872366790582404,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,3,2,-1,0.909541511771995,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,3,3,-1,0.8537794299876085,0.7674418604651163,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,3,3,-1,0.9120198265179678,0.8662790697674418,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,3,3,-1,0.9132589838909542,0.8662790697674418,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,3,4,-1,0.8537794299876085,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,3,4,-1,0.9206939281288724,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,3,4,-1,0.8847583643122676,0.8662790697674418,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,6,0,-1,0.9008674101610905,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,6,0,-1,0.9107806691449815,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,6,0,-1,0.9467162329615861,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,6,1,-1,0.9144981412639405,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=4,max,10,6,1,-1,0.9058240396530359,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=8,max,10,6,1,-1,0.9454770755885997,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_M=2,max,10,6,2,-1,0.9144981412639405,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
