dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,CBCC_C=2,-sigma,5,3,0,-1,0.42998760842627015,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,3,0,-1,0.42998760842627015,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,3,0,-1,0.2874845105328377,0.9941860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,3,1,-1,0.8451053283767038,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,3,1,-1,0.4250309789343247,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,3,1,-1,0.42998760842627015,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,3,2,-1,0.42874845105328374,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,3,2,-1,0.8426270136307311,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,3,2,-1,0.8252788104089219,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,3,3,-1,0.8451053283767038,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,3,3,-1,0.4275092936802974,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,3,3,-1,0.42998760842627015,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,3,4,-1,0.8426270136307311,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,3,4,-1,0.8488228004956629,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,3,4,-1,0.42998760842627015,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,6,0,-1,0.241635687732342,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,6,0,-1,0.26022304832713755,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,6,0,-1,0.38909541511771994,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,6,1,-1,0.26022304832713755,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,6,1,-1,0.7571251548946716,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,6,1,-1,0.7509293680297398,0.38372093023255816,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,6,2,-1,0.44609665427509293,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,6,2,-1,0.241635687732342,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,6,2,-1,0.8798017348203222,0.6627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,6,3,-1,0.24535315985130113,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,6,3,-1,0.25154894671623296,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,6,3,-1,0.2589838909541512,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,6,4,-1,0.4423791821561338,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,6,4,-1,0.7571251548946716,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,6,4,-1,0.3878562577447336,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,9,0,-1,0.9008674101610905,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,9,0,-1,0.7744733581164808,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,9,0,-1,0.9021065675340768,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,9,1,-1,0.9008674101610905,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,9,1,-1,0.9070631970260223,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,9,1,-1,0.9045848822800495,0.7732558139534884,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,-sigma,5,9,2,-1,0.9008674101610905,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,-sigma,5,9,2,-1,0.8996282527881041,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,-sigma,5,9,2,-1,0.9045848822800495,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
