dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,CBCC_C=2,mean,5,3,0,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,3,0,-1,0.9244114002478315,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,3,0,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,3,1,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,3,1,-1,0.919454770755886,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,3,1,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,3,2,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,3,2,-1,0.9144981412639405,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,3,2,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,3,3,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,3,3,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,3,3,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,3,4,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,3,4,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,3,4,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,6,0,-1,0.9120198265179678,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,6,0,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,6,0,-1,0.9157372986369269,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,6,1,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,6,1,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,6,1,-1,0.9169764560099133,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,6,2,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,6,2,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,6,2,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,6,3,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,6,3,-1,0.919454770755886,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,6,3,-1,0.9169764560099133,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,6,4,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,6,4,-1,0.9144981412639405,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,6,4,-1,0.9157372986369269,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,9,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,9,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,9,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,9,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,9,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,9,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,9,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,9,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,9,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,9,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,9,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,9,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,9,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,9,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,9,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,12,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,12,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,12,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,12,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,12,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=8,mean,5,12,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=2,mean,5,12,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,CBCC_C=4,mean,5,12,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
