dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,CBCC_C=2,-sigma,3,6,0,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,6,0,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,6,0,-1,0.7558859975216853,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,6,1,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,6,1,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,6,1,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,6,2,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,6,2,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,6,2,-1,0.7558859975216853,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,6,3,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,6,3,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,6,3,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,6,4,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,6,4,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,6,4,-1,0.7571251548946716,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,12,0,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,12,0,-1,0.9640644361833953,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,12,0,-1,0.9653035935563816,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,12,1,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,12,1,-1,0.9640644361833953,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,12,1,-1,0.9640644361833953,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,12,2,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,12,2,-1,0.9628252788104089,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,12,2,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,12,3,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,12,3,-1,0.9628252788104089,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,12,3,-1,0.9628252788104089,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,12,4,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,12,4,-1,0.9640644361833953,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,12,4,-1,0.9653035935563816,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,18,0,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,18,0,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,18,0,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,18,1,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,18,1,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,18,1,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,18,2,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,18,2,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,18,2,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,18,3,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,18,3,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,18,3,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,18,4,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,-sigma,3,18,4,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,-sigma,3,18,4,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,-sigma,3,24,0,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
