dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,CBCC_C=2,mean,3,6,0,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,6,0,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,6,0,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,6,1,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,6,1,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,6,1,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,6,2,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,6,2,-1,0.5588599752168525,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,6,2,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,6,3,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,6,3,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,6,3,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,6,4,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,6,4,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,6,4,-1,0.5600991325898389,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,12,0,-1,0.42998760842627015,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,12,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,12,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,12,1,-1,0.436183395291202,0.9709302325581395,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,12,1,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,12,1,-1,0.44114002478314746,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,12,2,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,12,2,-1,0.4423791821561338,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,12,2,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,12,3,-1,0.4423791821561338,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,12,3,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,12,3,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,12,4,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,12,4,-1,0.4423791821561338,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,12,4,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,18,0,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,18,0,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,18,0,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,18,1,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,18,1,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,18,1,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,18,2,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,18,2,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,18,2,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,18,3,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,18,3,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,18,3,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,18,4,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,18,4,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,18,4,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,24,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,24,0,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,mean,3,24,0,-1,0.516728624535316,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,mean,3,24,1,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,mean,3,24,1,-1,0.22924411400247832,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
