dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,CBCC_M=2,+sigma,3,3,0,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,3,0,-1,0.940068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,3,0,-1,0.9503424657534246,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,3,1,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,3,1,-1,0.940068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,3,1,-1,0.9503424657534246,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,3,2,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,3,2,-1,0.940068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,3,2,-1,0.940068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,3,3,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,3,3,-1,0.940068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,3,3,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,3,4,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,3,4,-1,0.940068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,3,4,-1,0.9503424657534246,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,6,0,-1,0.976027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,6,0,-1,0.9708904109589042,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,6,0,-1,0.9726027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,6,1,-1,0.9708904109589042,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,6,1,-1,0.9743150684931506,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,6,1,-1,0.976027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,6,2,-1,0.976027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,6,2,-1,0.976027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,6,2,-1,0.9726027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,6,3,-1,0.976027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,6,3,-1,0.9794520547945206,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,6,3,-1,0.9708904109589042,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,6,4,-1,0.9708904109589042,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,6,4,-1,0.988013698630137,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,6,4,-1,0.976027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,9,0,-1,0.9931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,9,0,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,9,0,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,9,1,-1,0.9931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,9,1,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,9,1,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,9,2,-1,0.9931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,9,2,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,9,2,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,9,3,-1,0.9931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,9,3,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,9,3,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=2,+sigma,3,9,4,-1,0.9931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=4,+sigma,3,9,4,-1,0.9931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_M=8,+sigma,3,9,4,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
