dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,CBCC_C=2,mean,3,3,0,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,3,0,-1,0.5941780821917808,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,3,0,-1,0.5633561643835616,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,3,1,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,3,1,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,3,1,-1,0.5702054794520548,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,3,2,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,3,2,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,3,2,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,3,3,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,3,3,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,3,3,-1,0.577054794520548,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,3,4,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,3,4,-1,0.5958904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,3,4,-1,0.5941780821917808,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,6,0,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,6,0,-1,0.6832191780821918,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,6,0,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,6,1,-1,0.7003424657534246,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,6,1,-1,0.7003424657534246,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,6,1,-1,0.6832191780821918,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,6,2,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,6,2,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,6,2,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,6,3,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,6,3,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,6,3,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,6,4,-1,0.7003424657534246,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,6,4,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,6,4,-1,0.684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,9,0,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,9,0,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,9,0,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,9,1,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,9,1,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,9,1,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,9,2,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,9,2,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,9,2,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,9,3,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,9,3,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,9,3,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,9,4,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,9,4,-1,0.4914383561643836,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,9,4,-1,0.4897260273972603,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,12,0,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,12,0,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,12,0,-1,0.4931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,12,1,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,12,1,-1,0.4931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,12,1,-1,0.4931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,12,2,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,12,2,-1,0.4931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,12,2,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,12,3,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,12,3,-1,0.4931506849315068,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,12,3,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,12,4,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,12,4,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,12,4,-1,0.4914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,15,0,-1,0.2996575342465753,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,15,0,-1,0.4537671232876712,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,15,0,-1,0.4623287671232877,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,15,1,-1,0.3236301369863014,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,15,1,-1,0.4537671232876712,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,15,1,-1,0.5445205479452054,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,15,2,-1,0.3236301369863014,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,15,2,-1,0.4554794520547945,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,15,2,-1,0.4982876712328767,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,15,3,-1,0.2996575342465753,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,15,3,-1,0.4571917808219178,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,15,3,-1,0.4571917808219178,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,15,4,-1,0.3236301369863014,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,15,4,-1,0.2996575342465753,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,15,4,-1,0.5428082191780822,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,18,0,-1,0.25,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,18,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,18,0,-1,0.25,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,18,1,-1,0.25,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,mean,3,18,1,-1,0.25,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,mean,3,18,1,-1,0.25,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,mean,3,18,2,-1,0.25,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
