dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,CBCC_C=2,+sigma,5,3,0,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,3,0,-1,0.8458904109589042,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,3,0,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,3,1,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,3,1,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,3,1,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,3,2,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,3,2,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,3,2,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,3,3,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,3,3,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,3,3,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,3,4,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,3,4,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,3,4,-1,0.8441780821917808,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,6,0,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,6,0,-1,0.9811643835616438,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,6,0,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,6,1,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,6,1,-1,0.9811643835616438,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,6,1,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,6,2,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,6,2,-1,0.9811643835616438,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,6,2,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,6,3,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,6,3,-1,0.9811643835616438,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=8,+sigma,5,6,3,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=2,+sigma,5,6,4,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,CBCC_C=4,+sigma,5,6,4,-1,0.9828767123287672,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
