dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,CBCC_C=2,+sigma,5,3,0,-1,0.851027397260274,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,3,0,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,3,0,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,3,1,-1,0.851027397260274,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,3,1,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,3,1,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,3,2,-1,0.851027397260274,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,3,2,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,3,2,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,3,3,-1,0.851027397260274,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,3,3,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,3,3,-1,0.9023972602739726,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,3,4,-1,0.851027397260274,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,3,4,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,3,4,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,6,0,-1,0.4657534246575342,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,6,0,-1,0.4965753424657534,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,6,0,-1,0.5428082191780822,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,6,1,-1,0.4657534246575342,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,6,1,-1,0.5222602739726028,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,+sigma,5,6,1,-1,0.4965753424657534,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,+sigma,5,6,2,-1,0.4657534246575342,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,+sigma,5,6,2,-1,0.523972602739726,0.02054794520547945,-1,-1,-1,-1,-1,-1,-1,-1,-1
