dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,CBCC_C=2,-sigma,5,3,0,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,3,0,-1,0.6883561643835616,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,3,0,-1,0.6866438356164384,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,3,1,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,3,1,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,3,1,-1,0.6678082191780822,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,3,2,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,3,2,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,3,2,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,3,3,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,3,3,-1,0.6866438356164384,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,3,3,-1,0.6695205479452054,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,3,4,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,3,4,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,3,4,-1,0.6866438356164384,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,6,0,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,6,0,-1,0.821917808219178,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,6,0,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,6,1,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,6,1,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,6,1,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,6,2,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,6,2,-1,0.809931506849315,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,6,2,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,6,3,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,6,3,-1,0.809931506849315,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,6,3,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,6,4,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,6,4,-1,0.8236301369863014,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,6,4,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,9,0,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,9,0,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,9,0,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,9,1,-1,0.4297945205479452,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,9,1,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,9,1,-1,0.4315068493150685,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,9,2,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,9,2,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,9,2,-1,0.5,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,9,3,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,9,3,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,9,3,-1,0.4280821917808219,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,9,4,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,9,4,-1,0.4297945205479452,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,9,4,-1,0.4280821917808219,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,12,0,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,12,0,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,12,0,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,12,1,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,12,1,-1,0.5017123287671232,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,12,1,-1,0.5017123287671232,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,12,2,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,12,2,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,12,2,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,12,3,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,12,3,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,5,12,3,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,5,12,4,-1,0.4982876712328767,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,5,12,4,-1,0.5034246575342466,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
