dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,CBCC_C=2,max,5,3,0,-1,0.8818493150684932,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,3,0,-1,0.9315068493150684,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,3,0,-1,0.9178082191780822,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,3,1,-1,0.839041095890411,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,3,1,-1,0.9315068493150684,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,3,1,-1,0.9178082191780822,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,3,2,-1,0.839041095890411,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,3,2,-1,0.9315068493150684,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,3,2,-1,0.9315068493150684,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,3,3,-1,0.8818493150684932,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,3,3,-1,0.9315068493150684,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,3,3,-1,0.9178082191780822,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,3,4,-1,0.839041095890411,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,3,4,-1,0.9315068493150684,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,3,4,-1,0.9178082191780822,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,6,0,-1,0.9263698630136986,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,6,0,-1,0.934931506849315,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,6,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,6,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,6,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,6,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,6,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,6,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,6,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,6,3,-1,0.9263698630136986,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,6,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,6,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,6,4,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,6,4,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,6,4,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,9,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,9,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,9,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,9,1,-1,0.9041095890410958,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,9,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,9,1,-1,0.6027397260273972,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,9,2,-1,0.952054794520548,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,9,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,9,2,-1,0.660958904109589,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,9,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,9,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,9,3,-1,0.660958904109589,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,9,4,-1,0.952054794520548,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,9,4,-1,0.9537671232876712,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,9,4,-1,0.5976027397260274,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,12,0,-1,0.660958904109589,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,12,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,12,0,-1,0.6506849315068494,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,12,1,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,12,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,12,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,12,2,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,12,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,12,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,12,3,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,12,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,12,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,12,4,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,12,4,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,12,4,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,15,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,15,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,15,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,15,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,15,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,15,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,15,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,15,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,15,2,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,15,3,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,15,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,15,3,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,15,4,-1,0.9503424657534246,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,15,4,-1,0.952054794520548,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,15,4,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,18,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,18,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,max,5,18,0,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,max,5,18,1,-1,0.952054794520548,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,max,5,18,1,-1,0.9503424657534246,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
