dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,CBCC_C=2,-sigma,3,6,0,-1,0.8236301369863014,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,6,0,-1,0.7517123287671232,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,6,0,-1,0.821917808219178,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,6,1,-1,0.7551369863013698,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,6,1,-1,0.7551369863013698,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,6,1,-1,0.7517123287671232,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,6,2,-1,0.8236301369863014,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,6,2,-1,0.8236301369863014,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,6,2,-1,0.8236301369863014,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,6,3,-1,0.8236301369863014,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,6,3,-1,0.815068493150685,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,6,3,-1,0.761986301369863,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,6,4,-1,0.7551369863013698,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,6,4,-1,0.8133561643835616,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,6,4,-1,0.8236301369863014,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,12,0,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,12,0,-1,0.2534246575342466,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,12,0,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,12,1,-1,0.24486301369863014,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,12,1,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,12,1,-1,0.2551369863013699,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,12,2,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,12,2,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,12,2,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,12,3,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,12,3,-1,0.2517123287671233,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,12,3,-1,0.24486301369863014,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,12,4,-1,0.24486301369863014,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,12,4,-1,0.24486301369863014,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,12,4,-1,0.2568493150684932,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,18,0,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,18,0,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,18,0,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,18,1,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,18,1,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,18,1,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,18,2,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,18,2,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,18,2,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,18,3,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,18,3,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,18,3,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,18,4,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,18,4,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,18,4,-1,0.24486301369863014,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,24,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,24,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,24,0,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,24,1,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,24,1,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,24,1,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,24,2,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,24,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,24,2,-1,0.0017123287671232876,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,24,3,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,24,3,-1,0.2482876712328767,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,24,3,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,24,4,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,24,4,-1,0.010273972602739725,0.00684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,24,4,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,30,0,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,30,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,30,0,-1,0.00684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,30,1,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,30,1,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,30,1,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,30,2,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,30,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,30,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,3,30,3,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,3,30,3,-1,0.00684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,3,30,3,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
