dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,CBCC_C=2,mean,3,6,0,-1,0.9212328767123288,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,3,6,0,-1,0.922945205479452,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,3,6,0,-1,0.916095890410959,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,3,6,1,-1,0.922945205479452,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,3,6,1,-1,0.922945205479452,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,3,6,1,-1,0.922945205479452,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,3,6,2,-1,0.9212328767123288,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,3,6,2,-1,0.9212328767123288,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,3,6,2,-1,0.9212328767123288,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,3,6,3,-1,0.9212328767123288,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,3,6,3,-1,0.916095890410959,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,3,6,3,-1,0.9246575342465754,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,3,6,4,-1,0.922945205479452,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,3,6,4,-1,0.9212328767123288,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
