dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hetero,CBCC_M=2,-sigma,2,4,0,-1,0.5708,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,4,0,-1,0.5828,0.124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,4,0,-1,0.2812,0.096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,4,1,-1,0.5996,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,4,1,-1,0.558,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,4,1,-1,0.204,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,4,2,-1,0.5988,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,4,2,-1,0.9208,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,4,2,-1,0.924,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,4,3,-1,0.604,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,4,3,-1,0.2136,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,4,3,-1,0.2016,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,4,4,-1,0.5992,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,4,4,-1,0.556,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,4,4,-1,0.5796,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,8,0,-1,0.9688,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,8,0,-1,0.5796,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,8,0,-1,0.9688,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,8,1,-1,0.7756,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,8,1,-1,0.7672,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,8,1,-1,0.5792,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,8,2,-1,0.9676,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,8,2,-1,0.7612,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,8,2,-1,0.382,0.006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,8,3,-1,0.5804,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,8,3,-1,0.7652,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,8,3,-1,0.2312,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,8,4,-1,0.9676,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,8,4,-1,0.424,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,8,4,-1,0.7656,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,12,0,-1,0.9884,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,12,0,-1,0.3948,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,12,0,-1,0.3952,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,12,1,-1,0.9884,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,12,1,-1,0.592,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,12,1,-1,0.786,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,12,2,-1,0.9884,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,12,2,-1,0.5916,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,12,2,-1,0.3964,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,12,3,-1,0.988,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,12,3,-1,0.5912,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,12,3,-1,0.3888,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,12,4,-1,0.9884,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,12,4,-1,0.9884,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,12,4,-1,0.4028,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,16,0,-1,0.7928,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,16,0,-1,0.2008,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,16,0,-1,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,16,1,-1,0.3984,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,16,1,-1,0.1992,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,16,1,-1,0.5516,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,16,2,-1,0.5964,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,16,2,-1,0.0016,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,16,2,-1,0.4,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,16,3,-1,0.7776,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,16,3,-1,0.3184,0.594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=8,-sigma,2,16,3,-1,0.0016,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=2,-sigma,2,16,4,-1,0.792,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,CBCC_M=4,-sigma,2,16,4,-1,0.7912,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
