dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,homo,CBCC_C=2,-sigma,2,4,0,-1,0.5972,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,4,0,-1,0.5736,0.612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,4,0,-1,0.3728,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,4,1,-1,0.6024,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,4,1,-1,0.9104,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,4,1,-1,0.2776,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,4,2,-1,0.9152,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,4,2,-1,0.732,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,4,2,-1,0.3648,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,4,3,-1,0.602,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,4,3,-1,0.7336,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,4,3,-1,0.5552,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,4,4,-1,0.9152,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,4,4,-1,0.422,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,4,4,-1,0.2444,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,8,0,-1,0.3876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,8,0,-1,0.3876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,8,0,-1,0.3872,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,8,1,-1,0.3876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,8,1,-1,0.3888,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,8,1,-1,0.7776,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,8,2,-1,0.3876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,8,2,-1,0.0064,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,8,2,-1,0.0092,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,8,3,-1,0.3876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,8,3,-1,0.388,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,8,3,-1,0.396,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,8,4,-1,0.3876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,8,4,-1,0.3872,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,8,4,-1,0.2136,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,12,0,-1,0.8056,0.094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,12,0,-1,0.9832,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,12,0,-1,0.9844,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,12,1,-1,0.9824,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,12,1,-1,0.7868,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,12,1,-1,0.9828,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,12,2,-1,0.9824,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,12,2,-1,0.9824,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,12,2,-1,0.7884,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,12,3,-1,0.7868,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,12,3,-1,0.9824,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,12,3,-1,0.9844,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,12,4,-1,0.7888,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,12,4,-1,0.7884,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,12,4,-1,0.9832,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,16,0,-1,0.99,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,16,0,-1,0.7932,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,16,0,-1,0.7932,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,16,1,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,16,1,-1,0.9896,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,16,1,-1,0.7928,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,16,2,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,16,2,-1,0.7932,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,16,2,-1,0.8012,0.684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,16,3,-1,0.99,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,16,3,-1,0.7936,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,16,3,-1,0.99,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,16,4,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,16,4,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=8,-sigma,2,16,4,-1,0.99,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=2,-sigma,2,20,0,-1,0.4004,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,CBCC_C=4,-sigma,2,20,0,-1,0.0008,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
