dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,*,EMDS,*,3,0,0,-1,0.7759838546922301,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,3,0,0,-1,0.8082744702320888,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,3,0,0,-1,0.8123107971745711,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,3,0,0,-1,0.8203834510595358,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,3,0,0,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,3,0,0,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,3,0,1,-1,0.7759838546922301,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,3,0,1,-1,0.8082744702320888,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,3,0,1,-1,0.8123107971745711,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,3,0,1,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,3,0,1,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,3,0,1,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,3,0,2,-1,0.7759838546922301,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,3,0,2,-1,0.8082744702320888,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,3,0,2,-1,0.8123107971745711,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,3,0,2,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,3,0,2,-1,0.8203834510595358,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,3,0,2,-1,0.8203834510595358,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,3,0,3,-1,0.7759838546922301,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,3,0,3,-1,0.8082744702320888,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,3,0,3,-1,0.8123107971745711,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,3,0,3,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,3,0,3,-1,0.822401614530777,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,3,0,3,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,3,0,4,-1,0.7759838546922301,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,3,0,4,-1,0.8082744702320888,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,3,0,4,-1,0.8123107971745711,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,3,0,4,-1,0.8234106962663976,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,3,0,4,-1,0.8213925327951564,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,3,0,4,-1,0.8203834510595358,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
