dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,*,EMDS,*,3,0,0,-1,0.601027397260274,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,3,0,0,-1,0.613013698630137,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,3,0,0,-1,0.5787671232876712,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,3,0,0,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,3,0,0,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,3,0,0,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,3,0,1,-1,0.601027397260274,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,3,0,1,-1,0.613013698630137,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,3,0,1,-1,0.5787671232876712,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,3,0,1,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,3,0,1,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,3,0,1,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,3,0,2,-1,0.601027397260274,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,3,0,2,-1,0.613013698630137,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,3,0,2,-1,0.5787671232876712,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,3,0,2,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,3,0,2,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,3,0,2,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,3,0,3,-1,0.601027397260274,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,3,0,3,-1,0.613013698630137,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,3,0,3,-1,0.5787671232876712,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,3,0,3,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,3,0,3,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,3,0,3,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,3,0,4,-1,0.601027397260274,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,3,0,4,-1,0.613013698630137,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,3,0,4,-1,0.5787671232876712,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,3,0,4,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,3,0,4,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,3,0,4,-1,0.589041095890411,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
