dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,*,EMDS,*,5,0,0,-1,0.6198630136986302,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,5,0,0,-1,0.6232876712328768,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,5,0,0,-1,0.589041095890411,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,5,0,0,-1,0.5941780821917808,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,5,0,0,-1,0.6078767123287672,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,5,0,0,-1,0.6027397260273972,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,5,0,1,-1,0.6198630136986302,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,5,0,1,-1,0.6232876712328768,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,5,0,1,-1,0.589041095890411,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,5,0,1,-1,0.5941780821917808,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,5,0,1,-1,0.6027397260273972,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,5,0,1,-1,0.601027397260274,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,5,0,2,-1,0.6198630136986302,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,5,0,2,-1,0.6232876712328768,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,5,0,2,-1,0.589041095890411,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,5,0,2,-1,0.6027397260273972,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,5,0,2,-1,0.5941780821917808,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,5,0,2,-1,0.6044520547945206,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,5,0,3,-1,0.6198630136986302,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,5,0,3,-1,0.6232876712328768,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,5,0,3,-1,0.589041095890411,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,5,0,3,-1,0.6078767123287672,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,5,0,3,-1,0.5993150684931506,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,5,0,3,-1,0.6044520547945206,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,EMDS,*,5,0,4,-1,0.6198630136986302,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,GLAD,*,5,0,4,-1,0.6232876712328768,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,OneCoinDS,*,5,0,4,-1,0.589041095890411,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=1000),*,5,0,4,-1,0.6027397260273972,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=2000),*,5,0,4,-1,0.6044520547945206,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,BDS(iter_sampling=3000),*,5,0,4,-1,0.6044520547945206,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
