dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,*,CBCC_C=2,*,5,0,0,-1,0.834510595358224,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=4,*,5,0,0,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=8,*,5,0,0,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=2,*,5,0,1,-1,0.834510595358224,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=4,*,5,0,1,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=8,*,5,0,1,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=2,*,5,0,2,-1,0.834510595358224,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=4,*,5,0,2,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=8,*,5,0,2,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=2,*,5,0,3,-1,0.834510595358224,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=4,*,5,0,3,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=8,*,5,0,3,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=2,*,5,0,4,-1,0.834510595358224,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=4,*,5,0,4,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_C=8,*,5,0,4,-1,0.8335015136226034,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
