dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,*,CBCC_C=2,*,5,0,0,-1,0.8066914498141264,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,5,0,0,-1,0.8042131350681536,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,5,0,0,-1,0.7967781908302355,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,5,0,1,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,5,0,1,-1,0.7980173482032218,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,5,0,1,-1,0.7967781908302355,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,5,0,2,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,5,0,2,-1,0.8091697645600991,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,5,0,2,-1,0.7980173482032218,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,5,0,3,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,5,0,3,-1,0.8104089219330854,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,5,0,3,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,5,0,4,-1,0.8104089219330854,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,5,0,4,-1,0.8128872366790583,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,5,0,4,-1,0.7980173482032218,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
