dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,*,CBCC_C=2,*,5,0,0,-1,0.6147260273972602,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=4,*,5,0,0,-1,0.6044520547945206,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=8,*,5,0,0,-1,0.6044520547945206,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=2,*,5,0,1,-1,0.6147260273972602,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=4,*,5,0,1,-1,0.6147260273972602,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=8,*,5,0,1,-1,0.6044520547945206,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=2,*,5,0,2,-1,0.6147260273972602,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=4,*,5,0,2,-1,0.6147260273972602,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=8,*,5,0,2,-1,0.6147260273972602,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=2,*,5,0,3,-1,0.6164383561643836,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=4,*,5,0,3,-1,0.6044520547945206,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=8,*,5,0,3,-1,0.6061643835616438,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=2,*,5,0,4,-1,0.6164383561643836,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=4,*,5,0,4,-1,0.6061643835616438,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,*,CBCC_C=8,*,5,0,4,-1,0.6061643835616438,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
