dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,*,CBCC_M=2,*,2,0,0,-1,0.6888,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=4,*,2,0,0,-1,0.6892,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=8,*,2,0,0,-1,0.6896,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=2,*,2,0,1,-1,0.6892,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=4,*,2,0,1,-1,0.69,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=8,*,2,0,1,-1,0.6892,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=2,*,2,0,2,-1,0.6896,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=4,*,2,0,2,-1,0.69,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=8,*,2,0,2,-1,0.6876,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=2,*,2,0,3,-1,0.6896,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=4,*,2,0,3,-1,0.6892,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=8,*,2,0,3,-1,0.6896,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=2,*,2,0,4,-1,0.6896,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=4,*,2,0,4,-1,0.69,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,CBCC_M=8,*,2,0,4,-1,0.69,0.954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
