task,worker,label
t64,w670,4
t766,w124,4
t873,w603,2
t16,w106,2
t96,w95,2
t358,w187,2
t212,w225,2
t593,w366,4
t412,w70,0
t31,w267,4
t258,w95,4
t1047,w152,2
t1019,w320,0
t260,w54,0
t409,w826,2
t224,w48,0
t947,w433,2
t525,w515,2
t818,w67,4
t588,w236,2
t288,w53,2
t267,w519,3
t603,w218,2
t489,w692,2
t631,w293,1
t163,w189,2
t597,w600,0
t790,w731,2
t144,w531,2
t286,w172,1
t624,w221,0
t63,w219,2
t735,w634,2
t194,w478,2
t661,w594,0
t230,w686,2
t216,w271,4
t115,w752,2
t301,w361,1
t182,w703,4
t132,w628,2
t919,w763,4
t860,w699,0
t884,w109,2
t917,w384,0
t513,w392,3
t278,w492,2
t865,w432,2
t364,w218,2
t413,w720,2
t679,w792,2
t608,w214,2
t687,w765,4
t782,w84,2
t558,w507,2
t648,w54,1
t47,w768,2
t965,w742,2
t799,w715,2
t729,w115,2
t200,w452,0
t467,w542,3
t406,w614,2
t561,w95,2
t98,w457,4
t584,w554,2
t807,w412,2
t778,w533,2
t179,w764,4
t781,w457,2
t810,w166,4
t148,w366,2
t425,w817,2
t592,w84,0
t76,w235,4
t337,w390,1
t901,w373,2
t261,w744,4
t567,w571,2
t180,w706,4
t130,w268,4
t249,w103,0
t374,w172,2
t968,w585,4
t669,w335,2
t605,w203,4
t423,w333,4
t152,w277,4
t883,w204,0
t805,w67,1
t905,w293,2
t445,w753,2
t787,w528,2
t387,w374,1
t745,w418,4
t330,w442,2
t209,w184,2
t1043,w154,1
t303,w607,4
t794,w580,4
t58,w92,2
t556,w727,2
t385,w604,4
t606,w459,3
t1013,w344,2
t328,w427,0
t809,w452,2
t1001,w185,2
t736,w390,3
t559,w410,2
t915,w150,2
t974,w221,2
t335,w450,2
t612,w335,4
t438,w213,2
t576,w607,2
t246,w481,4
t594,w277,2
t340,w398,3
t29,w455,0
t634,w399,2
t427,w746,2
t998,w417,2
t719,w169,2
t987,w833,2
t984,w694,2
t566,w679,4
t347,w575,4
t24,w621,4
t507,w655,4
t241,w611,1
t557,w63,0
t742,w495,4
t88,w95,2
t435,w664,2
t238,w622,2
t194,w236,2
t579,w672,2
t812,w198,4
t458,w124,4
t970,w54,2
t305,w406,0
t234,w394,4
t525,w578,2
t65,w715,0
t789,w535,2
t198,w387,2
t402,w184,2
t44,w275,2
t484,w578,0
t147,w603,3
t357,w221,3
t845,w595,0
t51,w73,4
t298,w200,4
t641,w292,4
t925,w624,2
t884,w491,2
t719,w277,2
t692,w614,2
t604,w470,3
t859,w448,4
t774,w132,4
t344,w494,4
t814,w273,4
t447,w477,3
t146,w389,2
t141,w132,4
t557,w301,0
t1006,w37,4
t172,w73,4
t764,w63,0
t714,w561,2
t665,w500,4
t1049,w696,2
t319,w228,2
t380,w680,4
t40,w485,4
t737,w462,2
t140,w584,2
t502,w10,4
t611,w727,2
t422,w644,2
t29,w603,0
t1014,w427,2
t722,w833,2
t756,w150,2
t1048,w607,4
t834,w277,4
t534,w527,4
t265,w196,4
t889,w693,3
t304,w703,2
t583,w459,4
t198,w54,2
t397,w254,2
t157,w563,4
t81,w290,4
t154,w48,4
t68,w359,2
t390,w784,1
t899,w175,4
t724,w325,4
t858,w103,2
t206,w578,3
t258,w580,3
t119,w791,4
t49,w154,2
t755,w90,0
t717,w522,2
t361,w427,2
t959,w171,3
t479,w256,4
t816,w432,2
t572,w275,4
t979,w398,2
t481,w420,2
t676,w730,2
t347,w430,4
t301,w830,1
t367,w467,2
t960,w123,2
t942,w515,4
t484,w420,0
t132,w286,2
t1038,w684,2
t721,w376,4
t806,w773,4
t851,w527,2
t454,w720,2
t607,w712,4
t432,w758,0
t773,w207,0
t397,w406,2
t504,w278,2
t779,w49,2
t969,w478,2
t768,w114,3
t838,w282,2
t137,w403,1
t411,w389,2
t247,w105,2
t95,w481,2
t936,w407,2
t570,w54,2
t92,w506,2
t932,w661,4
t849,w514,4
t475,w120,2
t314,w82,1
t955,w481,3
t94,w477,4
t186,w277,2
t712,w700,4
t934,w793,4
t531,w124,0
t761,w95,2
t1001,w678,2
t293,w437,4
t605,w575,4
t947,w590,2
t176,w442,4
t240,w82,2
t1007,w586,2
t536,w506,4
t259,w624,2
t393,w434,4
t42,w324,2
t109,w127,1
t269,w328,2
t526,w569,3
t913,w190,2
t57,w137,2
t694,w810,2
t101,w474,1
t106,w371,4
t456,w277,4
t19,w155,4
t599,w684,2
t862,w563,1
t705,w364,2
t460,w190,3
t368,w410,2
t37,w720,2
t363,w539,0
