task,worker,label
1,5,3
1,7,0
1,8,2
2,15,2
2,16,2
2,17,2
3,18,1
3,20,1
3,21,1
4,27,0
4,29,1
4,30,0
5,20,2
5,28,3
5,25,3
6,38,2
6,16,2
6,20,2
7,34,1
7,21,1
7,9,1
8,45,0
8,46,0
8,47,0
9,51,1
9,27,0
9,34,0
10,34,0
10,21,0
10,12,0
11,39,0
11,35,0
11,19,0
12,43,0
12,34,1
12,8,1
13,43,3
13,10,3
13,5,2
14,9,1
14,58,2
14,44,0
15,42,3
15,59,3
15,43,2
16,50,0
16,11,1
16,25,0
17,17,3
17,43,3
17,45,3
18,17,1
18,9,1
18,61,1
19,31,0
19,55,0
19,13,0
20,15,1
20,9,1
20,55,0
21,23,3
21,63,2
21,16,2
22,56,2
22,35,1
22,23,3
23,64,0
23,10,0
23,55,0
24,37,1
24,65,0
24,23,0
25,58,2
25,10,3
25,34,3
26,34,3
26,20,3
26,58,2
27,25,3
27,56,2
27,23,3
28,13,2
28,40,2
28,43,2
29,47,3
29,13,3
29,35,1
30,20,1
30,22,0
30,41,1
31,10,2
31,31,3
31,35,2
32,9,1
32,34,1
32,69,1
33,16,1
33,11,1
33,41,1
34,14,0
34,31,1
34,13,1
35,23,3
35,56,2
35,26,2
36,37,2
36,28,3
36,39,3
37,58,2
37,42,3
37,29,2
38,34,2
38,17,3
38,16,3
39,20,2
39,13,3
39,41,3
40,19,2
40,27,2
40,29,2
41,35,2
41,31,2
41,34,2
42,40,0
42,65,0
42,58,1
43,34,3
43,25,3
43,9,3
44,20,2
44,21,2
44,34,2
45,16,1
45,9,0
45,20,1
46,43,0
46,7,0
46,40,0
47,26,1
47,5,0
47,17,1
48,61,2
48,23,2
48,47,2
49,9,3
49,28,2
49,16,2
50,8,1
50,23,1
50,31,1
51,17,3
51,9,3
51,39,2
52,56,2
52,12,2
52,47,2
53,37,1
53,17,0
53,50,0
54,43,0
54,12,0
54,3,1
55,14,3
55,34,3
55,43,3
56,5,1
56,37,1
56,41,1
57,5,3
57,52,2
57,8,2
58,9,3
58,25,3
58,36,3
59,41,1
59,23,1
59,51,1
60,3,2
60,9,3
60,53,2
61,82,3
61,63,3
61,35,3
62,13,1
62,10,0
62,7,0
63,3,1
63,43,0
63,19,0
64,40,2
64,23,2
64,35,2
65,26,2
65,39,3
65,3,3
66,39,3
66,16,2
66,23,2
67,9,2
67,43,2
67,62,2
68,27,0
68,19,0
68,55,0
69,40,2
69,34,2
69,35,2
70,10,2
70,58,2
70,22,2
71,47,2
71,66,2
71,34,2
72,8,3
72,43,3
72,9,2
73,9,1
73,20,0
