task,worker,label
0-48,A3KAF6CU2BYVLG,0
0-48,A361ONJ6UNYLSU,0
3-82,A3PK30QCJZFMBP,2
3-82,A3PND2XNVWO4JF,2
2-474,A2WMX6GLWV0KC,3
2-474,A3TKUXUTDX6FBF,3
4-356,A3PK30QCJZFMBP,4
4-356,A36DAQ878CD5FX,4
2-247,A1T02KY1E9YI3I,2
2-247,AV8TMLT7069DY,2
1-234,A8X12RUYRWGXF,1
1-234,A1ZGOZQF2VZ0X9,1
3-312,A2IKW7I8X54JRP,2
3-312,A17LA7KM9S0SCS,2
1-39,A69HWH4QYTZ19,1
1-39,A8X12RUYRWGXF,1
0-135,A3FLAKX75XCXLT,0
0-135,AB5N25TN92NC4,0
1-65,A21DHQV0B6WUT6,1
1-65,A2IKW7I8X54JRP,1
3-259,AFUE61NJ28R5A,2
3-259,ALQLJXB5C0NET,2
0-122,A1HEP7GMB37Y6S,0
0-122,A1XH5NWL4CESE5,0
0-403,A8X12RUYRWGXF,0
0-403,A2HEZ4001GAES4,0
0-166,A3KAF6CU2BYVLG,0
0-166,A1KFN387PP26GB,0
1-292,A21DHQV0B6WUT6,1
1-292,A3MRUQ8GPGBJGZ,1
4-435,A15YI5MH2VDXOQ,4
4-435,A3PK30QCJZFMBP,1
4-486,A3N4HFWUMG9LHE,1
4-486,A1HEP7GMB37Y6S,4
2-370,AYY9WMJIAPYQT,3
2-370,A2QTGI77BS09OT,2
0-51,A1ZGOZQF2VZ0X9,0
0-51,ADC4VXNQJ9FEW,0
3-274,A2YZA00VJ8X6NQ,2
3-274,AB5N25TN92NC4,3
3-106,A1ZGOZQF2VZ0X9,2
3-106,A2WMX6GLWV0KC,3
3-412,A3MRUQ8GPGBJGZ,3
3-412,A3TKUXUTDX6FBF,2
3-225,AZ0KS5UTO3EJ2,2
3-225,A1X6R9MNI26BHJ,2
3-236,A2GTJEKWOE25RB,3
3-236,A3PK30QCJZFMBP,2
2-306,A2GTJEKWOE25RB,1
2-306,AO2WNSGOXAX52,2
3-454,A3FLAKX75XCXLT,4
3-454,A1BZUM7HG83VC8,2
1-441,A16GH5GPKBX5GA,4
1-441,A18BVR2AKF33J6,4
1-479,A1KL8QLFQ4YTOL,4
1-479,AB5N25TN92NC4,1
0-127,A69HWH4QYTZ19,0
0-127,A2BPCT8ATLRQ3N,0
0-222,A30ENTLELXJH32,0
0-222,A17LA7KM9S0SCS,0
2-276,AIO6HDQNZA4WJ,2
2-276,A1HEP7GMB37Y6S,3
0-45,A19H7KOMN55AMU,0
0-45,A21DHQV0B6WUT6,0
1-480,A2WMX6GLWV0KC,1
1-480,A8X12RUYRWGXF,2
3-23,A3FLAKX75XCXLT,3
3-23,A3AYHESLQSDY5T,3
0-145,A1J6B5XUULEITY,0
0-145,A2CNDKFIY9FA88,0
1-404,A1T02KY1E9YI3I,1
1-404,A604PL18J3O4X,1
3-185,A3HALUPLZ4IKYJ,4
3-185,ALQLJXB5C0NET,3
0-464,A2WI5DVHW58TY4,0
0-464,A2WMX6GLWV0KC,0
4-290,A3FLAKX75XCXLT,3
4-290,A17QLTKXOMAPP,1
3-192,A1PZ6FQ0WT3ROZ,2
3-192,A1CB72B51L7TKE,2
0-376,A2ZJAQE1IFJRZF,0
0-376,A1T02KY1E9YI3I,0
1-393,A3N4HFWUMG9LHE,2
1-393,A30ENTLELXJH32,1
4-196,A1PZ6FQ0WT3ROZ,4
4-196,AYY9WMJIAPYQT,2
