task,worker,label,gt
t816,w61,3,3
t998,w200,3,3
t308,w458,3,3
t937,w687,5,5
t115,w23,1,1
t833,w276,3,3
t33,w726,5,5
t814,w256,5,5
t90,w830,3,3
t325,w329,3,3
t374,w13,3,3
t243,w743,3,3
t531,w236,5,5
t262,w90,5,1
t803,w38,3,3
t981,w669,3,3
t107,w116,3,5
t819,w779,2,3
t966,w438,3,3
t995,w721,3,3
t97,w583,3,3
t701,w303,5,5
t271,w643,5,5
t11,w82,1,3
t250,w134,5,5
t608,w424,3,3
t316,w195,4,3
t81,w132,4,5
t503,w722,3,3
t64,w410,5,5
t376,w28,3,3
t950,w714,3,3
t607,w338,5,5
t448,w229,3,3
t476,w741,5,5
t751,w812,3,3
t298,w768,5,5
t465,w608,5,5
t1049,w387,5,5
t854,w47,5,5
t818,w57,1,5
t1023,w478,5,5
t79,w121,3,3
t951,w304,3,3
t625,w673,5,5
t47,w45,3,3
t360,w678,5,3
t841,w743,5,5
t883,w525,1,5
t11,w482,3,3
t621,w436,5,5
t355,w453,3,3
t397,w735,3,3
t46,w57,2,2
t579,w713,3,3
t432,w527,1,3
t866,w532,3,3
t686,w519,3,3
t467,w561,5,5
t1003,w316,1,3
t422,w719,3,3
t814,w537,5,5
t639,w760,1,1
t29,w262,4,3
t723,w294,3,3
t1009,w536,5,5
t466,w141,3,3
t1010,w798,5,5
t787,w248,3,3
t1024,w176,4,4
t330,w399,3,3
t490,w490,4,4
t720,w767,1,5
t814,w140,5,5
t525,w130,3,3
t772,w302,5,4
t790,w107,2,3
t702,w731,5,5
t918,w481,3,3
t737,w19,3,2
t938,w696,3,3
t277,w268,5,4
t896,w410,3,3
t560,w282,4,2
t455,w197,3,3
t31,w50,5,5
t943,w636,5,1
t115,w818,1,1
t29,w745,1,3
t258,w494,5,5
t193,w21,5,5
t461,w127,3,3
t942,w696,5,5
t387,w292,4,2
t270,w410,3,3
t107,w179,5,5
t275,w387,3,3
t604,w221,4,1
t930,w441,3,3
t675,w58,4,4
t31,w645,5,5
t883,w638,5,5
t1018,w99,5,5
t260,w706,1,3
t704,w249,5,5
t260,w705,1,3
t23,w171,3,3
t863,w759,2,3
t678,w396,4,4
t463,w59,3,3
t840,w650,3,1
t379,w743,5,5
t506,w748,5,4
t721,w236,5,5
t887,w159,3,3
t805,w797,2,2
t460,w84,3,4
t801,w481,1,3
t1011,w27,3,3
t469,w760,5,5
t454,w49,3,3
t604,w167,4,1
t870,w491,5,5
t1015,w779,4,4
t455,w93,3,3
t224,w485,1,1
t267,w297,5,4
t347,w744,5,5
t106,w260,5,5
t685,w121,3,3
t605,w479,5,5
t544,w487,3,3
t1043,w831,3,3
t947,w796,3,5
t268,w499,1,5
t193,w154,5,5
t161,w785,3,3
t893,w398,2,3
t43,w502,3,3
t1035,w763,3,3
t879,w820,5,5
t278,w429,3,3
t78,w244,2,2
t132,w261,3,3
t305,w66,1,3
t1030,w429,3,3
t699,w256,2,3
t936,w485,3,1
t172,w541,5,5
t640,w297,3,3
t520,w33,3,2
t902,w51,3,3
t692,w29,1,3
t336,w373,3,3
t42,w12,3,3
t921,w198,3,3
t720,w543,2,5
t194,w652,3,3
t24,w478,5,5
t241,w815,2,2
t744,w50,5,5
t538,w137,5,5
t75,w195,3,3
t308,w93,3,3
t484,w653,5,5
t364,w590,5,5
t220,w647,3,3
t842,w105,1,1
t1033,w359,3,3
t899,w793,5,5
t579,w816,3,3
t1008,w603,3,3
t1019,w584,1,5
t61,w663,3,3
t792,w629,3,3
t876,w154,1,1
t958,w811,1,1
t976,w33,4,4
t584,w54,3,3
t137,w393,2,3
t605,w730,5,5
t735,w84,3,3
t326,w704,3,3
t243,w54,2,3
t873,w744,1,3
t910,w822,3,3
t619,w674,3,3
t768,w235,4,4
t245,w156,5,5
t280,w608,2,3
t922,w425,3,3
t579,w785,3,3
t505,w266,4,4
t136,w453,3,3
t636,w570,3,3
t505,w50,4,4
t963,w24,5,5
t182,w169,5,5
t949,w428,1,3
t762,w139,3,2
t15,w205,3,1
t317,w592,5,5
t908,w59,3,3
t62,w664,3,5
t727,w195,3,3
t231,w659,3,3
t978,w578,3,2
t296,w376,3,3
t679,w424,3,3
t1041,w474,3,3
t1005,w623,5,5
t679,w517,3,3
t957,w418,5,5
t652,w134,3,3
t481,w439,4,5
t32,w149,5,5
t805,w742,2,2
t125,w222,3,3
t758,w601,1,1
t246,w450,5,5
t661,w258,1,3
t634,w186,3,3
t257,w480,3,5
t219,w127,3,3
t917,w830,3,3
t909,w273,5,5
t917,w37,3,3
t981,w500,3,3
t862,w248,2,3
t599,w133,2,3
t773,w544,3,3
t323,w612,5,5
t939,w453,3,3
t106,w312,5,5
t385,w797,2,1
t44,w46,3,3
t889,w312,5,5
t73,w487,5,4
t937,w435,5,5
t794,w226,5,5
t844,w154,5,5
t827,w619,3,3
t793,w795,3,3
t335,w59,1,5
t284,w30,3,3
t508,w272,1,1
t115,w583,3,1
t957,w131,5,5
t1043,w835,3,3
t553,w357,5,5
t703,w418,3,3
t867,w585,5,5
t335,w730,5,5
t913,w344,3,3
t496,w395,4,4
t344,w500,5,5
t371,w203,3,3
t908,w283,3,3
t281,w615,5,5
t482,w432,3,5
t115,w339,1,1
t925,w355,1,1
t630,w327,3,3
t268,w502,5,5
t724,w54,5,5
t409,w489,3,3
t536,w46,5,5
t9,w220,3,3
t504,w354,3,3
t586,w520,1,1
t357,w39,4,5
t926,w665,3,5
t858,w57,3,3
t156,w589,3,3
t424,w433,3,3
t29,w410,3,3
t662,w345,4,5
t367,w665,3,3
t778,w798,3,3
t538,w169,5,5
t549,w378,3,3
t529,w774,5,5
t698,w811,3,5
t614,w319,5,3
t310,w534,1,1
t558,w60,2,3
t147,w328,5,5
t770,w509,5,5
t537,w644,4,4
t555,w199,5,5
t502,w203,5,5
t634,w86,3,3
t437,w85,5,5
t927,w51,5,5
t813,w21,3,3
t579,w704,3,3
t974,w147,3,3
t433,w453,5,5
t929,w462,3,3
t437,w309,5,5
t364,w809,5,5
t485,w671,3,3
t972,w567,1,1
t937,w179,5,5
t558,w750,3,3
t176,w764,5,5
t614,w779,3,3
t545,w256,5,5
t25,w160,3,3
t679,w442,3,3
t32,w319,5,5
t137,w578,2,3
t552,w706,1,5
t469,w329,5,5
t66,w557,5,5
t980,w182,5,5
t559,w37,4,1
t730,w109,3,3
t540,w676,3,3
t1007,w154,3,3
t1004,w487,3,3
t896,w730,1,3
t87,w563,3,3
t89,w403,5,4
t92,w560,3,3
t152,w48,5,5
t253,w605,2,3
t744,w236,5,5
t409,w818,1,3
t191,w0,3,3
t8,w546,3,3
t742,w173,5,5
t500,w816,3,3
t476,w764,5,5
t532,w528,5,5
t1019,w562,5,5
t137,w103,3,3
t14,w348,4,5
t227,w14,2,2
t933,w148,4,5
t409,w172,3,3
t287,w817,3,3
t659,w650,3,3
t278,w826,3,3
t249,w818,1,3
t965,w698,3,3
t722,w551,3,3
t735,w530,3,3
t1037,w245,3,3
t373,w272,3,3
t29,w412,3,3
t818,w495,5,5
t535,w736,5,5
t465,w442,5,5
t557,w253,1,1
t995,w319,3,3
t801,w428,3,3
t237,w765,3,3
t1051,w74,2,3
t258,w517,5,5
t38,w120,5,4
t987,w414,3,3
t729,w578,3,3
t569,w197,3,3
t998,w448,3,3
t667,w415,3,4
t709,w719,5,5
t216,w594,5,5
t979,w372,3,3
t992,w497,5,5
t711,w37,3,3
t522,w101,3,3
t94,w305,5,5
t647,w139,3,3
t938,w775,3,3
t437,w245,5,5
t1031,w151,5,5
t452,w702,5,5
t675,w557,4,4
t670,w807,3,3
t115,w517,3,1
t371,w292,3,3
t234,w477,3,3
t374,w494,3,3
t945,w366,3,3
t751,w609,3,3
t135,w385,2,3
t79,w420,3,3
t290,w556,3,3
t1046,w222,3,3
t1002,w274,3,3
t409,w565,5,3
t605,w517,5,5
t943,w745,1,1
t192,w700,5,5
t729,w172,3,3
t237,w191,3,3
t1003,w435,3,3
t830,w645,3,3
t344,w207,5,5
t769,w677,3,3
t567,w308,3,3
t51,w112,5,5
