dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,EMDS,max,5,4,0,-1,0.9838546922300706,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,max,5,4,0,-1,0.9656912209889001,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,max,5,4,0,-1,0.9556004036326943,0.2786885245901639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,max,5,4,0,-1,0.8688193743693239,0.7868852459016393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),max,5,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),max,5,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),max,5,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),max,5,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),max,5,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),max,5,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,max,5,4,1,-1,0.9838546922300706,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,max,5,4,1,-1,0.9656912209889001,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,max,5,4,1,-1,0.9556004036326943,0.2786885245901639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,max,5,4,1,-1,0.8688193743693239,0.7868852459016393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),max,5,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),max,5,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),max,5,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),max,5,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),max,5,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),max,5,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,max,5,4,2,-1,0.9838546922300706,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,max,5,4,2,-1,0.9656912209889001,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,max,5,4,2,-1,0.9556004036326943,0.2786885245901639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,max,5,4,2,-1,0.8688193743693239,0.7868852459016393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),max,5,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),max,5,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),max,5,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),max,5,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),max,5,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),max,5,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,max,5,4,3,-1,0.9838546922300706,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
