dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,EMDS,mean,5,4,0,-1,0.9677093844601413,0.9180327868852459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,5,4,0,-1,0.9646821392532795,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,5,4,0,-1,0.9576185671039354,0.3114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,mean,5,4,0,-1,0.8647830474268415,0.7704918032786885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,5,4,0,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),mean,5,4,0,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,5,4,0,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),mean,5,4,0,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),mean,5,4,0,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),mean,5,4,0,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,5,4,1,-1,0.9677093844601413,0.9180327868852459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,5,4,1,-1,0.9646821392532795,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,5,4,1,-1,0.9576185671039354,0.3114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,mean,5,4,1,-1,0.8647830474268415,0.7704918032786885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,5,4,1,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),mean,5,4,1,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,5,4,1,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),mean,5,4,1,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),mean,5,4,1,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),mean,5,4,1,1,0.9989909182643795,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
