dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,homo,EMDS,max,3,4,0,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,3,4,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,3,4,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,TwoStep-EM,max,3,4,0,-1,0.9323915237134208,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,3,4,0,0,0.9384460141271443,0.0,2,14,93,0,0,0,20,4,0,0,0
adult,homo,BDS(iter_sampling=2000),max,3,4,0,0,0.9384460141271443,0.0,2,2,11,0,0,0,20,4,0,0,0
adult,homo,BDS(iter_sampling=3000),max,3,4,0,0,0.9384460141271443,0.0,2,17,97,0,0,0,20,4,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=1000),max,3,4,0,1,0.9889001009081736,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=2000),max,3,4,0,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=3000),max,3,4,0,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,3,4,1,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,3,4,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,3,4,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,TwoStep-EM,max,3,4,1,-1,0.9323915237134208,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,3,4,1,0,0.9384460141271443,0.0,4,15,92,529,0,782,20,4,8,0,8
adult,homo,BDS(iter_sampling=2000),max,3,4,1,1,0.9384460141271443,0.0,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),max,3,4,1,0,0.9384460141271443,0.0,4,2,10,531,0,768,20,4,8,0,8
adult,homo,Two-Step-MCMC(iter_sampling=1000),max,3,4,1,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=2000),max,3,4,1,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=3000),max,3,4,1,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,3,4,2,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,3,4,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,3,4,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,TwoStep-EM,max,3,4,2,-1,0.9323915237134208,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,3,4,2,0,0.9384460141271443,0.0,2,2,17,0,0,0,20,4,0,0,0
adult,homo,BDS(iter_sampling=2000),max,3,4,2,1,0.9384460141271443,0.0,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),max,3,4,2,0,0.9384460141271443,0.0,2,17,98,0,0,0,20,4,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=1000),max,3,4,2,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=2000),max,3,4,2,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=3000),max,3,4,2,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,3,4,3,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,3,4,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,3,4,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,TwoStep-EM,max,3,4,3,-1,0.9323915237134208,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,3,4,3,0,0.9384460141271443,0.0,4,2,17,535,0,770,20,4,8,0,8
adult,homo,BDS(iter_sampling=2000),max,3,4,3,0,0.987891019172553,0.8032786885245902,2,2,9,0,0,0,20,4,0,0,0
adult,homo,BDS(iter_sampling=3000),max,3,4,3,0,0.9384460141271443,0.0,4,2,10,532,0,765,20,4,8,0,8
adult,homo,Two-Step-MCMC(iter_sampling=1000),max,3,4,3,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=2000),max,3,4,3,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=3000),max,3,4,3,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,3,4,4,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,3,4,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,3,4,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,TwoStep-EM,max,3,4,4,-1,0.9323915237134208,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,3,4,4,1,0.9384460141271443,0.0,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),max,3,4,4,0,0.9384460141271443,0.0,2,0,0,527,0,766,0,0,8,0,8
adult,homo,BDS(iter_sampling=3000),max,3,4,4,0,0.9384460141271443,0.0,2,2,11,0,0,0,20,4,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=1000),max,3,4,4,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=2000),max,3,4,4,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=3000),max,3,4,4,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,TwoStep-EM,max,3,8,0,-1,0.9394550958627649,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,3,8,0,0,0.9384460141271443,0.0,3,0,634,282,690,0,0,40,40,40,0
adult,homo,BDS(iter_sampling=2000),max,3,8,0,0,0.9384460141271443,0.0,2,0,0,246,967,0,0,0,40,40,0
adult,homo,BDS(iter_sampling=3000),max,3,8,0,0,0.9384460141271443,0.0,3,1,393,0,0,115,40,32,0,0,16
adult,homo,Two-Step-MCMC(iter_sampling=1000),max,3,8,0,0,0.9384460141271443,0.0,2,1,11,0,0,0,39,1,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=2000),max,3,8,0,0,0.9384460141271443,0.0,2,9,66,0,0,0,40,8,0,0,0
adult,homo,Two-Step-MCMC(iter_sampling=3000),max,3,8,0,0,0.9747729566094854,0.5901639344262295,2,1,8,0,0,0,40,0,0,0,0
