dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,-sigma,3,3,0,-1,0.8798017348203222,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,-sigma,3,3,0,-1,0.8413878562577447,0.7325581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,-sigma,3,3,0,-1,0.828996282527881,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,-sigma,3,3,0,-1,0.8190830235439901,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),-sigma,3,3,0,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),-sigma,3,3,0,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=3000),-sigma,3,3,0,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,3,0,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,3,0,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,3,0,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,-sigma,3,3,1,-1,0.8798017348203222,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,-sigma,3,3,1,-1,0.8413878562577447,0.7325581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,-sigma,3,3,1,-1,0.828996282527881,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,-sigma,3,3,1,-1,0.8190830235439901,0.8197674418604651,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),-sigma,3,3,1,1,0.8562577447335812,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),-sigma,3,3,1,1,0.8550185873605948,0.8546511627906976,0,0,0,0,0,0,0,0,0
