dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,max,3,3,0,-1,0.9962825278810409,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,max,3,3,0,-1,0.9045848822800495,0.5523255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,max,3,3,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,max,3,3,0,-1,0.9888475836431226,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),max,3,3,0,0,0.7868649318463445,0.0,4,169,213,96,252,12,7,6,9
dog,hetero,BDS(iter_sampling=2000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=3000),max,3,3,0,0,1.0,1.0,3,0,225,199,188,0,9,6,6
dog,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,max,3,3,1,-1,0.9962825278810409,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,max,3,3,1,-1,0.9045848822800495,0.5523255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,max,3,3,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,max,3,3,1,-1,0.9888475836431226,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),max,3,3,1,0,1.0,1.0,3,0,193,197,101,0,6,6,6
dog,hetero,BDS(iter_sampling=2000),max,3,3,1,0,0.9814126394052045,1.0,4,31,225,228,100,12,9,7,6
dog,hetero,BDS(iter_sampling=3000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,max,3,3,2,-1,0.9962825278810409,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,max,3,3,2,-1,0.9045848822800495,0.5523255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,max,3,3,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,max,3,3,2,-1,0.9888475836431226,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),max,3,3,2,0,0.7187112763320942,1.0,4,31,225,246,110,12,9,9,6
dog,hetero,BDS(iter_sampling=2000),max,3,3,2,0,1.0,1.0,4,32,242,197,190,12,9,6,6
dog,hetero,BDS(iter_sampling=3000),max,3,3,2,0,1.0,1.0,4,33,215,95,221,12,7,6,9
dog,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,max,3,3,3,-1,0.9962825278810409,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,max,3,3,3,-1,0.9045848822800495,0.5523255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,max,3,3,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,max,3,3,3,-1,0.9888475836431226,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),max,3,3,3,0,1.0,1.0,3,186,86,0,179,12,4,0,4
dog,hetero,BDS(iter_sampling=2000),max,3,3,3,0,0.9405204460966543,0.7209302325581395,4,108,104,95,100,12,5,6,6
