dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,mean,5,3,0,-1,0.9801734820322181,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,mean,5,3,0,-1,0.8847583643122676,0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,mean,5,3,0,-1,0.8736059479553904,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,HSDS_EM,mean,5,3,0,-1,0.9516728624535316,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),mean,5,3,0,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),mean,5,3,0,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=3000),mean,5,3,0,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=1000),mean,5,3,0,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=2000),mean,5,3,0,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=3000),mean,5,3,0,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,mean,5,3,1,-1,0.9801734820322181,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,mean,5,3,1,-1,0.8847583643122676,0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,mean,5,3,1,-1,0.8736059479553904,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,HSDS_EM,mean,5,3,1,-1,0.9516728624535316,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),mean,5,3,1,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),mean,5,3,1,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=3000),mean,5,3,1,0,0.9553903345724907,0.9011627906976745,2,0,0,131,125,0,0,11,11
dog,hetero,HSDS_MCMC(iter_sampling=1000),mean,5,3,1,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=2000),mean,5,3,1,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=3000),mean,5,3,1,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,mean,5,3,2,-1,0.9801734820322181,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,mean,5,3,2,-1,0.8847583643122676,0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,mean,5,3,2,-1,0.8736059479553904,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,HSDS_EM,mean,5,3,2,-1,0.9516728624535316,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),mean,5,3,2,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),mean,5,3,2,0,0.952912019826518,0.9011627906976745,3,236,242,261,0,9,8,9,0
dog,hetero,BDS(iter_sampling=3000),mean,5,3,2,0,0.9640644361833953,0.9011627906976745,3,231,7,0,212,10,4,0,8
dog,hetero,HSDS_MCMC(iter_sampling=1000),mean,5,3,2,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=2000),mean,5,3,2,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=3000),mean,5,3,2,1,0.9578686493184635,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,mean,5,3,3,-1,0.9801734820322181,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
