dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,-sigma,10,3,0,-1,0.8562577447335812,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,3,0,-1,0.8475836431226765,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,3,0,-1,0.8426270136307311,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,3,0,-1,0.8463444857496902,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,3,0,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,3,0,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,10,3,0,0,0.8488228004956629,0.877906976744186,3,240,2,245,3,9,0,9,1
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,3,0,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,3,0,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,3,0,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,3,1,-1,0.8562577447335812,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,3,1,-1,0.8475836431226765,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,3,1,-1,0.8426270136307311,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,3,1,-1,0.8463444857496902,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,3,1,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,3,1,0,0.8475836431226765,0.8895348837209303,3,4,278,0,262,0,10,0,11
dog,homo,BDS(iter_sampling=3000),-sigma,10,3,1,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,3,1,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,3,1,1,0.8475836431226765,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,3,1,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,3,2,-1,0.8562577447335812,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,3,2,-1,0.8475836431226765,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,3,2,-1,0.8426270136307311,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,3,2,-1,0.8463444857496902,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,3,2,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,3,2,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,10,3,2,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,3,2,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,3,2,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,3,2,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,3,3,-1,0.8562577447335812,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,3,3,-1,0.8475836431226765,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,3,3,-1,0.8426270136307311,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,3,3,-1,0.8463444857496902,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,3,3,1,0.8475836431226765,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,3,3,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,10,3,3,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,3,3,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,3,3,1,0.8451053283767038,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,3,3,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,3,4,-1,0.8562577447335812,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,3,4,-1,0.8475836431226765,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,3,4,-1,0.8426270136307311,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,3,4,-1,0.8463444857496902,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,3,4,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,3,4,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,10,3,4,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,3,4,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,3,4,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,3,4,1,0.8463444857496902,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,6,0,-1,0.8835192069392813,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,6,0,-1,0.8636926889714994,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,6,0,-1,0.862453531598513,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,6,0,-1,0.8612143742255266,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,6,0,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,6,0,0,0.8760842627013631,0.872093023255814,4,322,6,251,266,24,0,19,22
dog,homo,BDS(iter_sampling=3000),-sigma,10,6,0,0,0.46592317224287483,0.8895348837209303,4,7,244,244,8,0,20,18,10
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,0,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,0,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,0,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,6,1,-1,0.8835192069392813,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,6,1,-1,0.8636926889714994,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,6,1,-1,0.862453531598513,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,6,1,-1,0.8612143742255266,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,6,1,0,0.8711276332094176,0.8837209302325582,4,242,3,249,3,20,0,19,10
dog,homo,BDS(iter_sampling=2000),-sigma,10,6,1,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,10,6,1,0,0.8649318463444857,0.8895348837209303,4,12,320,244,268,0,21,18,22
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,1,1,0.8736059479553904,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,1,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,1,1,0.8736059479553904,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,6,2,-1,0.8835192069392813,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,6,2,-1,0.8636926889714994,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,6,2,-1,0.862453531598513,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,6,2,-1,0.8612143742255266,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,6,2,1,0.8736059479553904,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,10,6,2,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,10,6,2,1,0.8736059479553904,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,2,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,2,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,2,1,0.872366790582404,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,10,6,3,-1,0.8835192069392813,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,10,6,3,-1,0.8636926889714994,0.813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,10,6,3,-1,0.862453531598513,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,-sigma,10,6,3,-1,0.8612143742255266,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,10,6,3,1,0.8736059479553904,0.8895348837209303,0,0,0,0,0,0,0,0,0
