dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,mean,3,3,0,-1,0.8946716232961586,0.622093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,3,3,0,-1,0.7831474597273854,0.023255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,3,3,0,-1,0.781908302354399,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,mean,3,3,0,-1,0.8203221809169765,0.686046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,3,3,0,0,0.8934324659231723,0.6046511627906976,2,36,106,0,0,12,6,0,0
dog,homo,BDS(iter_sampling=2000),mean,3,3,0,0,0.781908302354399,0.0,4,20,103,96,103,12,5,9,9
dog,homo,BDS(iter_sampling=3000),mean,3,3,0,0,0.7843866171003717,0.01744186046511628,2,34,109,0,0,12,5,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),mean,3,3,0,1,0.8983890954151177,0.7790697674418605,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),mean,3,3,0,1,0.8983890954151177,0.7790697674418605,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),mean,3,3,0,1,0.8983890954151177,0.7790697674418605,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,3,3,1,-1,0.8946716232961586,0.622093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,3,3,1,-1,0.7831474597273854,0.023255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,3,3,1,-1,0.781908302354399,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
