dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,mean,5,3,0,-1,0.9231722428748451,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,5,3,0,-1,0.8327137546468402,0.36627906976744184,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,5,3,0,-1,0.7843866171003717,0.01744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,mean,5,3,0,-1,0.9070631970260223,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,5,3,0,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),mean,5,3,0,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),mean,5,3,0,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),mean,5,3,0,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),mean,5,3,0,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),mean,5,3,0,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,5,3,1,-1,0.9231722428748451,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,5,3,1,-1,0.8327137546468402,0.36627906976744184,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,5,3,1,-1,0.7843866171003717,0.01744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,mean,5,3,1,-1,0.9070631970260223,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,5,3,1,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),mean,5,3,1,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),mean,5,3,1,0,0.9083023543990086,0.8372093023255814,2,0,0,132,119,0,0,7,7
dog,homo,HSDS_MCMC(iter_sampling=1000),mean,5,3,1,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),mean,5,3,1,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),mean,5,3,1,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,5,3,2,-1,0.9231722428748451,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,5,3,2,-1,0.8327137546468402,0.36627906976744184,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,5,3,2,-1,0.7843866171003717,0.01744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,mean,5,3,2,-1,0.9070631970260223,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,5,3,2,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),mean,5,3,2,0,0.9083023543990086,0.8372093023255814,2,0,0,132,121,0,0,7,7
dog,homo,BDS(iter_sampling=3000),mean,5,3,2,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),mean,5,3,2,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),mean,5,3,2,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),mean,5,3,2,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,5,3,3,-1,0.9231722428748451,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,5,3,3,-1,0.8327137546468402,0.36627906976744184,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,5,3,3,-1,0.7843866171003717,0.01744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,mean,5,3,3,-1,0.9070631970260223,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,5,3,3,0,0.9083023543990086,0.8372093023255814,2,0,0,133,120,0,0,7,7
dog,homo,BDS(iter_sampling=2000),mean,5,3,3,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),mean,5,3,3,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),mean,5,3,3,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),mean,5,3,3,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),mean,5,3,3,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,5,3,4,-1,0.9231722428748451,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,5,3,4,-1,0.8327137546468402,0.36627906976744184,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,5,3,4,-1,0.7843866171003717,0.01744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,mean,5,3,4,-1,0.9070631970260223,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,5,3,4,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),mean,5,3,4,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),mean,5,3,4,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),mean,5,3,4,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),mean,5,3,4,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),mean,5,3,4,1,0.9083023543990086,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,5,6,0,-1,0.9083023543990086,0.6453488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,5,6,0,-1,0.7856257744733581,0.01744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
