dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,-sigma,10,6,0,-1,0.8847583643122676,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,10,6,0,-1,0.8599752168525403,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,10,6,0,-1,0.8525402726146221,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,-sigma,10,6,0,-1,0.8674101610904585,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,10,6,0,0,0.8612143742255266,0.8895348837209303,3,1,241,248,6,0,19,20,9
dog,hybrid,BDS(iter_sampling=2000),-sigma,10,6,0,0,0.8401486988847584,0.8953488372093024,4,2,256,269,10,0,20,20,9
dog,hybrid,BDS(iter_sampling=3000),-sigma,10,6,0,0,0.8661710037174721,0.8604651162790697,3,301,12,3,272,20,0,0,19
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,0,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,0,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,0,1,0.8686493184634448,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,-sigma,10,6,1,-1,0.8847583643122676,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,10,6,1,-1,0.8599752168525403,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,10,6,1,-1,0.8525402726146221,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,-sigma,10,6,1,-1,0.8674101610904585,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,10,6,1,0,0.8686493184634448,0.8895348837209303,3,3,283,1,262,0,22,0,22
dog,hybrid,BDS(iter_sampling=2000),-sigma,10,6,1,0,0.8748451053283767,0.8837209302325582,3,284,8,1,258,19,0,0,18
dog,hybrid,BDS(iter_sampling=3000),-sigma,10,6,1,0,0.8612143742255266,0.8895348837209303,3,1,241,246,4,0,19,20,7
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,1,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,1,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,1,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,-sigma,10,6,2,-1,0.8847583643122676,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,10,6,2,-1,0.8599752168525403,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,10,6,2,-1,0.8525402726146221,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,-sigma,10,6,2,-1,0.8674101610904585,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,10,6,2,1,0.8686493184634448,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=2000),-sigma,10,6,2,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=3000),-sigma,10,6,2,0,0.8686493184634448,0.8895348837209303,3,3,283,1,265,0,22,0,22
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,2,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,2,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,2,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,-sigma,10,6,3,-1,0.8847583643122676,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,10,6,3,-1,0.8599752168525403,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,10,6,3,-1,0.8525402726146221,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,-sigma,10,6,3,-1,0.8674101610904585,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,10,6,3,0,0.8674101610904585,0.8837209302325582,4,240,5,249,3,13,0,14,5
dog,hybrid,BDS(iter_sampling=2000),-sigma,10,6,3,0,0.8736059479553904,0.8837209302325582,3,284,9,0,261,20,0,0,18
dog,hybrid,BDS(iter_sampling=3000),-sigma,10,6,3,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,10,6,3,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,10,6,3,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,10,6,3,1,0.8674101610904585,0.8837209302325582,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,-sigma,10,6,4,-1,0.8847583643122676,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,10,6,4,-1,0.8599752168525403,0.8255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,10,6,4,-1,0.8525402726146221,0.8430232558139535,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,-sigma,10,6,4,-1,0.8674101610904585,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
