dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,mean,10,6,0,-1,0.952912019826518,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,10,6,0,-1,0.8909541511771994,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,10,6,0,-1,0.885997521685254,0.6627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,mean,10,6,0,-1,0.9467162329615861,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,10,6,0,0,0.8847583643122676,0.46511627906976744,3,132,328,0,277,24,16,0,16
dog,hybrid,BDS(iter_sampling=2000),mean,10,6,0,0,0.7868649318463445,0.0,4,90,357,269,268,21,22,21,17
dog,hybrid,BDS(iter_sampling=3000),mean,10,6,0,0,0.9541511771995044,0.8895348837209303,4,136,350,310,277,24,23,20,16
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,10,6,0,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,10,6,0,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,10,6,0,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,10,6,1,-1,0.952912019826518,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,10,6,1,-1,0.8909541511771994,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,10,6,1,-1,0.885997521685254,0.6627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,mean,10,6,1,-1,0.9467162329615861,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,10,6,1,0,0.9479553903345725,0.8895348837209303,3,135,323,320,0,24,23,23,0
dog,hybrid,BDS(iter_sampling=2000),mean,10,6,1,0,0.7719950433705081,0.0,3,277,307,323,0,24,22,22,0
dog,hybrid,BDS(iter_sampling=3000),mean,10,6,1,0,0.9380421313506815,0.8895348837209303,4,291,333,345,338,24,22,23,24
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,10,6,1,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,10,6,1,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,10,6,1,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,10,6,2,-1,0.952912019826518,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,10,6,2,-1,0.8909541511771994,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,10,6,2,-1,0.885997521685254,0.6627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,mean,10,6,2,-1,0.9467162329615861,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,10,6,2,0,0.9553903345724907,0.8837209302325582,3,199,341,341,64,24,23,21,4
dog,hybrid,BDS(iter_sampling=2000),mean,10,6,2,0,0.4857496902106567,0.0,4,299,125,172,307,24,5,17,22
dog,hybrid,BDS(iter_sampling=3000),mean,10,6,2,0,0.9541511771995044,0.8895348837209303,3,290,295,0,315,15,16,0,21
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,10,6,2,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,10,6,2,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,10,6,2,1,0.9541511771995044,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,10,6,3,-1,0.952912019826518,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,10,6,3,-1,0.8909541511771994,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,10,6,3,-1,0.885997521685254,0.6627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,mean,10,6,3,-1,0.9467162329615861,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,10,6,3,0,0.9541511771995044,0.8837209302325582,4,289,295,268,341,24,16,19,23
dog,hybrid,BDS(iter_sampling=2000),mean,10,6,3,0,0.7868649318463445,0.0,3,272,148,268,0,24,8,19,0
dog,hybrid,BDS(iter_sampling=3000),mean,10,6,3,0,0.9231722428748451,0.8895348837209303,4,116,124,192,181,24,6,18,18
