dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,-sigma,3,6,0,-1,0.895910780669145,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,3,6,0,-1,0.815365551425031,0.4069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,3,6,0,-1,0.7806691449814126,0.23255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,-sigma,3,6,0,-1,0.8277571251548946,0.7267441860465116,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,3,6,0,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=2000),-sigma,3,6,0,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=3000),-sigma,3,6,0,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,3,6,0,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,3,6,0,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,3,6,0,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,-sigma,3,6,1,-1,0.895910780669145,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,3,6,1,-1,0.815365551425031,0.4069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,3,6,1,-1,0.7806691449814126,0.23255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,-sigma,3,6,1,-1,0.8277571251548946,0.7267441860465116,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,3,6,1,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=2000),-sigma,3,6,1,1,0.8921933085501859,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=3000),-sigma,3,6,1,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,3,6,1,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,3,6,1,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,3,6,1,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,-sigma,3,6,2,-1,0.895910780669145,0.7383720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,-sigma,3,6,2,-1,0.815365551425031,0.4069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,-sigma,3,6,2,-1,0.7806691449814126,0.23255813953488372,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,-sigma,3,6,2,-1,0.8277571251548946,0.7267441860465116,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),-sigma,3,6,2,1,0.8934324659231723,0.8546511627906976,0,0,0,0,0,0,0,0,0
