dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,max,3,3,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,3,0,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,3,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,3,0,-1,0.8647260273972602,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,3,0,0,1.0,1.0,2,22,0,0,36,12,0,0,5
face,hetero,BDS(iter_sampling=2000),max,3,3,0,0,1.0,1.0,2,56,51,32,0,12,4,5,0
face,hetero,BDS(iter_sampling=3000),max,3,3,0,0,1.0,1.0,3,28,0,32,48,12,0,5,5
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,3,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,3,1,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,3,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,3,1,-1,0.8647260273972602,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,3,1,0,0.75,0.0,2,42,55,50,45,12,4,7,6
face,hetero,BDS(iter_sampling=2000),max,3,3,1,0,0.9041095890410958,0.6164383561643836,2,61,54,32,38,12,4,5,4
face,hetero,BDS(iter_sampling=3000),max,3,3,1,0,0.9914383561643836,1.0,3,28,72,75,48,12,6,7,5
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,3,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,3,2,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,3,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,3,2,-1,0.8647260273972602,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,3,2,0,1.0,1.0,3,19,54,35,65,8,6,3,7
face,hetero,BDS(iter_sampling=2000),max,3,3,2,0,1.0,1.0,0,0,54,0,55,0,6,0,6
face,hetero,BDS(iter_sampling=3000),max,3,3,2,0,0.75,0.0,3,51,67,64,65,12,7,6,7
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,3,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,3,3,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,3,3,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,3,3,-1,0.8647260273972602,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,3,3,0,1.0,1.0,0,54,54,37,43,4,4,6,6
face,hetero,BDS(iter_sampling=2000),max,3,3,3,0,0.75,0.0,2,53,56,34,43,12,6,4,5
face,hetero,BDS(iter_sampling=3000),max,3,3,3,0,1.0,1.0,2,42,0,34,36,12,0,4,5
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,3,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,3,4,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,3,4,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,3,4,-1,0.8647260273972602,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,3,4,0,0.7311643835616438,0.0,3,63,64,63,64,10,7,6,6
face,hetero,BDS(iter_sampling=2000),max,3,3,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),max,3,3,4,0,1.0,1.0,0,37,0,0,37,4,0,0,4
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,3,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,3,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,3,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,6,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,6,0,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,6,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,6,0,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,6,0,0,1.0,1.0,2,58,61,0,45,24,8,0,12
face,hetero,BDS(iter_sampling=2000),max,3,6,0,0,1.0,1.0,2,16,58,72,0,24,12,14,0
face,hetero,BDS(iter_sampling=3000),max,3,6,0,0,0.714041095890411,1.0,2,42,80,71,70,24,18,18,18
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,6,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,6,1,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,6,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,max,3,6,1,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,3,6,1,0,0.4982876712328767,0.0,2,40,68,70,53,24,14,14,12
face,hetero,BDS(iter_sampling=2000),max,3,6,1,0,0.25,0.0,2,42,52,42,55,24,8,12,14
face,hetero,BDS(iter_sampling=3000),max,3,6,1,0,0.75,0.0,2,59,60,48,44,24,12,10,8
face,hetero,Two-Step-MCMC(iter_sampling=1000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,3,6,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,3,6,2,-1,0.8664383561643836,0.4657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,3,6,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
