dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,mean,3,3,0,-1,0.75,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,3,3,0,-1,0.6678082191780822,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,3,3,0,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,3,3,0,-1,0.6832191780821918,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),mean,3,3,0,1,0.6523972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),mean,3,3,0,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),mean,3,3,0,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,3,0,1,0.6506849315068494,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,3,0,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,3,0,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,mean,3,3,1,-1,0.75,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,3,3,1,-1,0.6678082191780822,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,3,3,1,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,3,3,1,-1,0.6832191780821918,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),mean,3,3,1,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),mean,3,3,1,0,0.6592465753424658,0.952054794520548,3,55,60,11,0,10,9,0,0
face,hetero,BDS(iter_sampling=3000),mean,3,3,1,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,3,1,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,3,1,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,3,1,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,mean,3,3,2,-1,0.75,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,3,3,2,-1,0.6678082191780822,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,3,3,2,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,3,3,2,-1,0.6832191780821918,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),mean,3,3,2,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),mean,3,3,2,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),mean,3,3,2,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,3,2,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,3,2,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,3,2,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,mean,3,3,3,-1,0.75,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,3,3,3,-1,0.6678082191780822,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,3,3,3,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,3,3,3,-1,0.6832191780821918,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),mean,3,3,3,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),mean,3,3,3,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),mean,3,3,3,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,3,3,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,3,3,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,3,3,1,0.6506849315068494,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,mean,3,3,4,-1,0.75,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,3,3,4,-1,0.6678082191780822,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,3,3,4,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,3,3,4,-1,0.6832191780821918,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),mean,3,3,4,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),mean,3,3,4,0,0.6643835616438356,0.9041095890410958,3,56,62,13,0,11,9,0,0
face,hetero,BDS(iter_sampling=3000),mean,3,3,4,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,3,4,1,0.6523972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,3,4,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
