dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,+sigma,5,3,0,-1,0.8527397260273972,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,5,3,0,-1,0.7208904109589042,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,5,3,0,-1,0.6386986301369864,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,+sigma,5,3,0,-1,0.7003424657534246,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,5,3,0,0,0.7208904109589042,0.9863013698630136,3,49,55,0,83,10,9,0,11
face,hetero,BDS(iter_sampling=2000),+sigma,5,3,0,0,0.7414383561643836,0.9315068493150684,4,68,69,46,56,10,10,9,9
face,hetero,BDS(iter_sampling=3000),+sigma,5,3,0,0,0.7311643835616438,0.9863013698630136,3,0,57,0,64,2,9,0,10
face,hetero,Two-Step-MCMC(iter_sampling=1000),+sigma,5,3,0,1,0.738013698630137,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),+sigma,5,3,0,1,0.7363013698630136,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),+sigma,5,3,0,1,0.7363013698630136,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,5,3,1,-1,0.8527397260273972,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,5,3,1,-1,0.7208904109589042,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,5,3,1,-1,0.6386986301369864,0.9178082191780822,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,+sigma,5,3,1,-1,0.7003424657534246,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,5,3,1,1,0.7397260273972602,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),+sigma,5,3,1,0,0.726027397260274,0.9726027397260274,4,59,79,85,74,12,11,11,11
