dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,-sigma,5,3,0,-1,0.660958904109589,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,5,3,0,-1,0.6541095890410958,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,5,3,0,-1,0.6164383561643836,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,-sigma,5,3,0,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,5,3,0,0,0.6318493150684932,0.9315068493150684,2,68,70,0,0,10,9,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,5,3,0,0,0.6318493150684932,0.9315068493150684,2,68,70,0,0,10,9,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,5,3,0,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,5,3,0,1,0.6267123287671232,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,5,3,0,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,5,3,0,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,5,3,1,-1,0.660958904109589,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,5,3,1,-1,0.6541095890410958,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,5,3,1,-1,0.6164383561643836,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,-sigma,5,3,1,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,5,3,1,0,0.6318493150684932,0.910958904109589,2,70,72,0,0,11,10,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,5,3,1,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,5,3,1,0,0.6318493150684932,0.9041095890410958,2,70,72,0,0,11,10,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,5,3,1,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,5,3,1,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,5,3,1,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,5,3,2,-1,0.660958904109589,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,5,3,2,-1,0.6541095890410958,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,5,3,2,-1,0.6164383561643836,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,-sigma,5,3,2,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,5,3,2,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,5,3,2,1,0.6267123287671232,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,5,3,2,1,0.6284246575342466,0.9315068493150684,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,5,3,2,1,0.625,0.9315068493150684,0,0,0,0,0,0,0,0,0
