dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,+sigma,3,3,0,-1,0.928082191780822,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,+sigma,3,3,0,-1,0.7517123287671232,0.0958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,+sigma,3,3,0,-1,0.738013698630137,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,+sigma,3,3,0,-1,0.7636986301369864,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),+sigma,3,3,0,0,0.898972602739726,0.9383561643835616,4,52,61,56,64,10,12,12,11
face,homo,BDS(iter_sampling=2000),+sigma,3,3,0,0,0.476027397260274,0.958904109589041,4,42,73,68,56,9,12,12,8
face,homo,BDS(iter_sampling=3000),+sigma,3,3,0,0,0.9126712328767124,0.9726027397260274,2,0,0,37,38,0,0,9,9
face,homo,Two-Step-MCMC(iter_sampling=1000),+sigma,3,3,0,1,0.9178082191780822,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),+sigma,3,3,0,1,0.916095890410959,0.958904109589041,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),+sigma,3,3,0,1,0.916095890410959,0.958904109589041,0,0,0,0,0,0,0,0,0
face,homo,EMDS,+sigma,3,3,1,-1,0.928082191780822,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,+sigma,3,3,1,-1,0.7517123287671232,0.0958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,+sigma,3,3,1,-1,0.738013698630137,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,+sigma,3,3,1,-1,0.7636986301369864,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),+sigma,3,3,1,0,0.910958904109589,0.958904109589041,2,34,0,0,36,6,0,0,8
face,homo,BDS(iter_sampling=2000),+sigma,3,3,1,0,0.803082191780822,0.726027397260274,3,54,61,66,39,10,10,11,6
face,homo,BDS(iter_sampling=3000),+sigma,3,3,1,0,0.9195205479452054,0.9657534246575342,2,34,61,61,38,9,10,9,8
face,homo,Two-Step-MCMC(iter_sampling=1000),+sigma,3,3,1,1,0.916095890410959,0.958904109589041,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),+sigma,3,3,1,1,0.9212328767123288,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),+sigma,3,3,1,1,0.9178082191780822,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,EMDS,+sigma,3,3,2,-1,0.928082191780822,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,+sigma,3,3,2,-1,0.7517123287671232,0.0958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,+sigma,3,3,2,-1,0.738013698630137,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,+sigma,3,3,2,-1,0.7636986301369864,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),+sigma,3,3,2,0,0.875,0.958904109589041,3,32,0,53,46,7,0,12,9
face,homo,BDS(iter_sampling=2000),+sigma,3,3,2,0,0.815068493150685,0.821917808219178,2,45,0,45,0,10,0,9,1
face,homo,BDS(iter_sampling=3000),+sigma,3,3,2,0,0.9195205479452054,0.9657534246575342,2,40,60,68,0,9,10,11,0
