dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,-sigma,3,3,0,-1,0.6815068493150684,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,3,0,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,3,0,-1,0.5873287671232876,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,3,0,-1,0.6455479452054794,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,3,0,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,3,0,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,3,3,0,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,3,0,1,0.6181506849315068,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,3,0,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,3,0,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,3,1,-1,0.6815068493150684,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,3,1,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,3,1,-1,0.5873287671232876,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,3,1,-1,0.6455479452054794,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,3,1,1,0.6181506849315068,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,3,1,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,3,3,1,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,3,1,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,3,1,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,3,1,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,3,2,-1,0.6815068493150684,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,3,2,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,3,2,-1,0.5873287671232876,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,3,2,-1,0.6455479452054794,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,3,2,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,3,2,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,3,3,2,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,3,2,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,3,2,1,0.6181506849315068,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,3,2,1,0.6147260273972602,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,3,3,-1,0.6815068493150684,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,3,3,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,3,3,-1,0.5873287671232876,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,3,3,-1,0.6455479452054794,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,3,3,1,0.6147260273972602,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,3,3,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,3,3,3,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,3,3,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,3,3,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,3,3,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,3,4,-1,0.6815068493150684,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,3,4,-1,0.6523972602739726,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,3,4,-1,0.5873287671232876,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,3,4,-1,0.6455479452054794,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,3,4,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,3,4,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,3,3,4,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,3,4,1,0.6181506849315068,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,3,4,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,3,4,1,0.6164383561643836,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,6,0,-1,0.8082191780821918,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,6,0,-1,0.684931506849315,0.363013698630137,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,6,0,-1,0.6506849315068494,0.2945205479452055,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,6,0,-1,0.6934931506849316,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,6,0,1,0.7277397260273972,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,6,0,1,0.726027397260274,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,3,6,0,1,0.726027397260274,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,6,0,1,0.7277397260273972,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,6,0,1,0.7243150684931506,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,6,0,1,0.726027397260274,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,6,1,-1,0.8082191780821918,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,6,1,-1,0.684931506849315,0.363013698630137,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,3,6,1,-1,0.6506849315068494,0.2945205479452055,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,3,6,1,-1,0.6934931506849316,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,3,6,1,1,0.7243150684931506,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,3,6,1,0,0.7294520547945206,0.952054794520548,2,28,0,0,50,24,0,0,19
face,homo,BDS(iter_sampling=3000),-sigma,3,6,1,1,0.7243150684931506,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,6,1,1,0.7243150684931506,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,6,1,1,0.7243150684931506,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,6,1,1,0.7277397260273972,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,3,6,2,-1,0.8082191780821918,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,3,6,2,-1,0.684931506849315,0.363013698630137,-1,-1,-1,-1,-1,-1,-1,-1,-1
