dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,mean,3,3,0,-1,0.8407534246575342,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,3,3,0,-1,0.7037671232876712,0.6232876712328768,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,3,3,0,-1,0.6113013698630136,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,3,3,0,-1,0.6917808219178082,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,3,3,0,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,3,3,0,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),mean,3,3,0,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,3,3,0,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,3,3,0,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),mean,3,3,0,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,mean,3,3,1,-1,0.8407534246575342,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,3,3,1,-1,0.7037671232876712,0.6232876712328768,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,3,3,1,-1,0.6113013698630136,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,3,3,1,-1,0.6917808219178082,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,3,3,1,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,3,3,1,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),mean,3,3,1,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,3,3,1,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,3,3,1,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),mean,3,3,1,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,mean,3,3,2,-1,0.8407534246575342,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,3,3,2,-1,0.7037671232876712,0.6232876712328768,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,3,3,2,-1,0.6113013698630136,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,3,3,2,-1,0.6917808219178082,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,3,3,2,1,0.7123287671232876,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,3,3,2,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),mean,3,3,2,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,3,3,2,1,0.7123287671232876,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,3,3,2,1,0.7123287671232876,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),mean,3,3,2,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,mean,3,3,3,-1,0.8407534246575342,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,3,3,3,-1,0.7037671232876712,0.6232876712328768,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,3,3,3,-1,0.6113013698630136,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,3,3,3,-1,0.6917808219178082,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,3,3,3,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,3,3,3,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),mean,3,3,3,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,3,3,3,1,0.7174657534246576,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,3,3,3,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),mean,3,3,3,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,mean,3,3,4,-1,0.8407534246575342,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,3,3,4,-1,0.7037671232876712,0.6232876712328768,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,3,3,4,-1,0.6113013698630136,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,3,3,4,-1,0.6917808219178082,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,3,3,4,1,0.7174657534246576,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,3,3,4,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),mean,3,3,4,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,3,3,4,1,0.7157534246575342,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,3,3,4,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),mean,3,3,4,1,0.714041095890411,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,mean,3,6,0,-1,0.8784246575342466,0.684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,3,6,0,-1,0.7277397260273972,0.0410958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,3,6,0,-1,0.7277397260273972,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,3,6,0,-1,0.785958904109589,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,3,6,0,0,0.7243150684931506,0.4726027397260274,4,26,69,66,52,24,21,19,17
face,homo,BDS(iter_sampling=2000),mean,3,6,0,0,0.910958904109589,0.9726027397260274,3,39,62,66,0,17,18,20,0
face,homo,BDS(iter_sampling=3000),mean,3,6,0,0,0.6952054794520548,0.00684931506849315,4,50,68,66,49,24,19,22,17
