dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,max,5,3,0,-1,0.9195205479452054,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,5,3,0,-1,0.7671232876712328,0.7328767123287672,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,5,3,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,5,3,0,-1,0.7568493150684932,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,5,3,0,0,0.4571917808219178,0.0,3,58,84,55,79,12,9,6,12
face,homo,BDS(iter_sampling=2000),max,5,3,0,0,0.6421232876712328,0.03424657534246575,4,49,86,78,71,12,9,9,8
face,homo,BDS(iter_sampling=3000),max,5,3,0,0,0.4571917808219178,0.0,3,51,86,78,79,12,9,6,6
face,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,0,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,0,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,0,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,EMDS,max,5,3,1,-1,0.9195205479452054,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,5,3,1,-1,0.7671232876712328,0.7328767123287672,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,5,3,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,5,3,1,-1,0.7568493150684932,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,5,3,1,0,0.6044520547945206,0.4657534246575342,4,53,60,72,59,9,6,9,6
face,homo,BDS(iter_sampling=2000),max,5,3,1,0,0.7003424657534246,0.0,4,59,81,80,71,12,6,6,6
face,homo,BDS(iter_sampling=3000),max,5,3,1,0,0.6455479452054794,0.2602739726027397,4,50,85,74,69,12,9,9,6
face,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,1,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,1,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,1,1,0.9178082191780822,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,max,5,3,2,-1,0.9195205479452054,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,5,3,2,-1,0.7671232876712328,0.7328767123287672,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,5,3,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,5,3,2,-1,0.7568493150684932,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,5,3,2,0,0.9178082191780822,0.9726027397260274,4,79,92,90,69,9,11,12,7
face,homo,BDS(iter_sampling=2000),max,5,3,2,0,0.7397260273972602,0.9657534246575342,3,40,89,78,84,12,9,9,6
face,homo,BDS(iter_sampling=3000),max,5,3,2,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,2,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,2,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,2,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,EMDS,max,5,3,3,-1,0.9195205479452054,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,5,3,3,-1,0.7671232876712328,0.7328767123287672,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,5,3,3,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,5,3,3,-1,0.7568493150684932,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,5,3,3,0,0.9212328767123288,0.9726027397260274,4,56,82,50,75,12,6,6,6
face,homo,BDS(iter_sampling=2000),max,5,3,3,0,0.4589041095890411,0.0,4,76,73,46,63,12,6,6,9
face,homo,BDS(iter_sampling=3000),max,5,3,3,0,0.9434931506849316,0.9315068493150684,4,43,62,53,47,12,6,6,3
face,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,3,1,0.9178082191780822,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,3,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,3,1,0.9195205479452054,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,EMDS,max,5,3,4,-1,0.9195205479452054,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,5,3,4,-1,0.7671232876712328,0.7328767123287672,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,5,3,4,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,5,3,4,-1,0.7568493150684932,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,5,3,4,0,0.3321917808219178,0.4657534246575342,4,69,86,69,88,12,9,6,10
