dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,mean,3,6,0,-1,0.922945205479452,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,mean,3,6,0,-1,0.7551369863013698,0.1643835616438356,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,mean,3,6,0,-1,0.7208904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,mean,3,6,0,-1,0.7654109589041096,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),mean,3,6,0,0,0.9041095890410958,0.9657534246575342,2,35,0,38,38,16,0,15,18
face,hybrid,BDS(iter_sampling=2000),mean,3,6,0,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,BDS(iter_sampling=3000),mean,3,6,0,0,0.8595890410958904,0.9726027397260274,2,0,65,68,0,0,19,18,0
face,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,3,6,0,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,3,6,0,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,3,6,0,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,mean,3,6,1,-1,0.922945205479452,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,mean,3,6,1,-1,0.7551369863013698,0.1643835616438356,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,mean,3,6,1,-1,0.7208904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,mean,3,6,1,-1,0.7654109589041096,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),mean,3,6,1,0,0.9092465753424658,0.958904109589041,3,22,0,0,41,24,1,0,13
face,hybrid,BDS(iter_sampling=2000),mean,3,6,1,0,0.8801369863013698,0.8493150684931506,3,42,0,0,45,24,4,0,16
face,hybrid,BDS(iter_sampling=3000),mean,3,6,1,0,0.9023972602739726,0.9657534246575342,2,0,49,61,37,0,21,18,16
face,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,3,6,1,1,0.9023972602739726,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,3,6,1,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,3,6,1,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,mean,3,6,2,-1,0.922945205479452,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,mean,3,6,2,-1,0.7551369863013698,0.1643835616438356,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,mean,3,6,2,-1,0.7208904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,mean,3,6,2,-1,0.7654109589041096,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),mean,3,6,2,0,0.898972602739726,0.9657534246575342,0,0,0,36,36,0,0,16,16
face,hybrid,BDS(iter_sampling=2000),mean,3,6,2,0,0.898972602739726,0.9657534246575342,0,0,0,35,36,0,0,16,16
face,hybrid,BDS(iter_sampling=3000),mean,3,6,2,0,0.875,0.863013698630137,2,52,0,40,38,20,0,16,18
face,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,3,6,2,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,3,6,2,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,3,6,2,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,mean,3,6,3,-1,0.922945205479452,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,mean,3,6,3,-1,0.7551369863013698,0.1643835616438356,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,mean,3,6,3,-1,0.7208904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,mean,3,6,3,-1,0.7654109589041096,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),mean,3,6,3,0,0.9023972602739726,0.9657534246575342,2,35,0,0,36,17,0,0,16
face,hybrid,BDS(iter_sampling=2000),mean,3,6,3,0,0.8356164383561644,0.9726027397260274,1,0,59,0,63,0,20,0,20
face,hybrid,BDS(iter_sampling=3000),mean,3,6,3,0,0.8955479452054794,0.952054794520548,4,42,54,34,66,24,19,15,20
face,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,3,6,3,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,3,6,3,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,3,6,3,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,mean,3,6,4,-1,0.922945205479452,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,mean,3,6,4,-1,0.7551369863013698,0.1643835616438356,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,mean,3,6,4,-1,0.7208904109589042,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,mean,3,6,4,-1,0.7654109589041096,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),mean,3,6,4,1,0.9023972602739726,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,BDS(iter_sampling=2000),mean,3,6,4,0,0.8955479452054794,0.9452054794520548,4,52,60,67,36,20,18,18,16
face,hybrid,BDS(iter_sampling=3000),mean,3,6,4,0,0.8886986301369864,0.9657534246575342,4,34,60,53,67,17,19,21,23
face,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,3,6,4,1,0.9023972602739726,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,3,6,4,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,3,6,4,1,0.9041095890410958,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,mean,3,12,0,-1,0.952054794520548,0.8424657534246576,-1,-1,-1,-1,-1,-1,-1,-1,-1
