dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,+sigma,5,6,0,-1,0.9777397260273972,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,6,0,-1,0.7654109589041096,0.0684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,6,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,6,0,-1,0.8407534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,6,0,0,0.976027397260274,0.9794520547945206,4,64,75,68,68,24,23,20,22
face,hybrid,BDS(iter_sampling=2000),+sigma,5,6,0,0,0.6318493150684932,0.5958904109589042,4,65,79,81,82,19,22,23,23
face,hybrid,BDS(iter_sampling=3000),+sigma,5,6,0,0,0.7311643835616438,0.0,4,64,71,76,71,24,18,21,19
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,6,0,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,6,0,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,6,0,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,6,1,-1,0.9777397260273972,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,6,1,-1,0.7654109589041096,0.0684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,6,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,6,1,-1,0.8407534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,6,1,0,0.7311643835616438,0.00684931506849315,4,51,66,64,77,24,19,17,20
face,hybrid,BDS(iter_sampling=2000),+sigma,5,6,1,0,0.9263698630136986,0.9383561643835616,3,77,69,60,82,21,15,17,23
face,hybrid,BDS(iter_sampling=3000),+sigma,5,6,1,0,0.4914383561643836,0.9726027397260274,3,69,84,80,76,19,23,22,21
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,6,1,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,6,1,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,6,1,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,6,2,-1,0.9777397260273972,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,6,2,-1,0.7654109589041096,0.0684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,6,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,6,2,-1,0.8407534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,6,2,0,0.702054794520548,0.8082191780821918,3,81,78,47,81,24,20,16,23
face,hybrid,BDS(iter_sampling=2000),+sigma,5,6,2,0,0.5,0.0,3,63,84,72,52,24,23,20,16
face,hybrid,BDS(iter_sampling=3000),+sigma,5,6,2,0,0.898972602739726,0.7876712328767124,3,53,70,0,77,24,17,0,21
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,6,2,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,6,2,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,6,2,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,6,3,-1,0.9777397260273972,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,6,3,-1,0.7654109589041096,0.0684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,6,3,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,6,3,-1,0.8407534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,6,3,0,0.4332191780821918,0.00684931506849315,4,29,79,82,84,24,18,22,23
face,hybrid,BDS(iter_sampling=2000),+sigma,5,6,3,0,0.9794520547945206,0.9931506849315068,2,49,78,81,69,14,23,23,16
face,hybrid,BDS(iter_sampling=3000),+sigma,5,6,3,0,0.9794520547945206,0.9863013698630136,2,33,54,0,0,24,9,0,0
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,6,3,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,6,3,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,6,3,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,6,4,-1,0.9777397260273972,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,6,4,-1,0.7654109589041096,0.0684931506849315,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,6,4,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,6,4,-1,0.8407534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,6,4,0,0.9246575342465754,0.9863013698630136,2,31,72,80,63,24,17,23,16
face,hybrid,BDS(iter_sampling=2000),+sigma,5,6,4,0,0.9811643835616438,0.9863013698630136,3,69,65,46,69,19,13,17,16
face,hybrid,BDS(iter_sampling=3000),+sigma,5,6,4,0,0.6027397260273972,0.00684931506849315,4,50,72,75,82,23,17,20,21
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,6,4,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,6,4,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,6,4,1,0.9777397260273972,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,12,0,-1,0.988013698630137,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,12,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,12,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,12,0,-1,0.9845890410958904,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,12,0,0,0.24486301369863014,0.0,3,72,50,72,79,48,35,43,38
face,hybrid,BDS(iter_sampling=2000),+sigma,5,12,0,0,0.2808219178082192,0.0,3,54,81,84,65,48,36,42,41
face,hybrid,BDS(iter_sampling=3000),+sigma,5,12,0,0,0.511986301369863,0.0,3,77,77,55,80,48,42,31,40
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,12,0,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,12,0,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,12,0,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,12,1,-1,0.988013698630137,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,12,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,12,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,12,1,-1,0.9845890410958904,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,12,1,0,0.988013698630137,0.9931506849315068,2,64,76,0,68,48,40,0,34
face,hybrid,BDS(iter_sampling=2000),+sigma,5,12,1,0,0.4982876712328767,0.9931506849315068,3,33,83,79,93,48,45,43,46
face,hybrid,BDS(iter_sampling=3000),+sigma,5,12,1,0,0.7414383561643836,0.0,3,40,84,76,63,40,40,43,34
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,12,1,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,12,1,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,12,1,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,12,2,-1,0.988013698630137,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,12,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,12,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,12,2,-1,0.9845890410958904,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,12,2,0,0.75,0.0,3,37,83,82,57,43,41,42,31
face,hybrid,BDS(iter_sampling=2000),+sigma,5,12,2,0,0.988013698630137,0.9931506849315068,0,79,61,55,75,37,26,31,43
face,hybrid,BDS(iter_sampling=3000),+sigma,5,12,2,0,0.4897260273972603,0.0,0,81,76,77,55,38,41,43,31
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,12,2,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,12,2,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,12,2,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,12,3,-1,0.988013698630137,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,12,3,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,12,3,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,5,12,3,-1,0.9845890410958904,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,5,12,3,0,0.9863013698630136,1.0,2,31,77,73,83,48,36,36,42
face,hybrid,BDS(iter_sampling=2000),+sigma,5,12,3,0,0.25,0.0,3,16,87,84,55,43,46,41,31
face,hybrid,BDS(iter_sampling=3000),+sigma,5,12,3,0,0.988013698630137,0.9931506849315068,0,80,61,48,0,39,25,35,0
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,5,12,3,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,5,12,3,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,5,12,3,1,0.9897260273972602,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,5,12,4,-1,0.988013698630137,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,5,12,4,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,5,12,4,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
