dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,max,5,6,0,-1,0.9948630136986302,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,max,5,6,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,max,5,6,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,max,5,6,0,-1,0.9726027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),max,5,6,0,0,0.5,0.0,3,40,56,73,90,24,13,13,21
face,hybrid,BDS(iter_sampling=2000),max,5,6,0,0,0.9794520547945206,1.0,0,70,78,67,63,4,13,16,12
face,hybrid,BDS(iter_sampling=3000),max,5,6,0,0,0.1934931506849315,0.0,2,54,83,67,88,24,18,18,18
face,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,6,0,1,0.9931506849315068,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,6,0,1,0.9931506849315068,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,6,0,1,0.9931506849315068,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,max,5,6,1,-1,0.9948630136986302,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,max,5,6,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,max,5,6,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,max,5,6,1,-1,0.9726027397260274,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
