dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hybrid,EMDS,-sigma,3,8,0,-1,0.8657921291624622,0.11475409836065574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,3,8,0,-1,0.9303733602421796,0.3114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,3,8,0,-1,0.9263370332996973,0.16393442622950818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,-sigma,3,8,0,-1,0.8990918264379415,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,3,8,0,1,0.9596367305751766,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,3,8,0,1,0.9596367305751766,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,3,8,0,1,0.9596367305751766,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,3,8,0,1,0.9596367305751766,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,3,8,0,1,0.9596367305751766,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,3,8,0,1,0.9596367305751766,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,3,8,1,-1,0.8657921291624622,0.11475409836065574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,3,8,1,-1,0.9303733602421796,0.3114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
