dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hybrid,EMDS,max,5,8,0,-1,0.9677093844601413,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,8,0,-1,0.9162462159434914,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,8,0,0,0.9384460141271443,0.0,4,0,235,929,244,1225,0,11,16,15,16
adult,hybrid,BDS(iter_sampling=2000),max,5,8,0,0,0.9384460141271443,0.0,4,45,974,399,1202,0,40,40,40,40,0
adult,hybrid,BDS(iter_sampling=3000),max,5,8,0,0,0.9384460141271443,0.0,4,6,36,296,1111,0,40,11,40,40,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,8,1,-1,0.9677093844601413,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,8,1,-1,0.9162462159434914,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,8,1,0,0.9384460141271443,0.0,5,6,241,422,522,1236,40,11,40,40,16
adult,hybrid,BDS(iter_sampling=2000),max,5,8,1,0,0.9384460141271443,0.0,3,6,242,0,33,0,40,11,0,15,0
adult,hybrid,BDS(iter_sampling=3000),max,5,8,1,0,1.0,1.0,4,8,34,296,1116,0,40,11,40,40,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,8,2,-1,0.9677093844601413,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,8,2,-1,0.9162462159434914,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,8,2,1,0.9384460141271443,0.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),max,5,8,2,0,1.0,1.0,5,108,34,922,1112,249,40,11,16,40,22
adult,hybrid,BDS(iter_sampling=3000),max,5,8,2,0,1.0,1.0,4,108,34,437,1118,0,40,11,40,40,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,8,3,-1,0.9677093844601413,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,8,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,8,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,8,3,-1,0.9162462159434914,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,8,3,0,1.0,1.0,4,19,34,305,1121,0,40,11,40,40,0
adult,hybrid,BDS(iter_sampling=2000),max,5,8,3,0,0.9384460141271443,0.0,5,22,250,300,533,1224,40,11,40,40,16
adult,hybrid,BDS(iter_sampling=3000),max,5,8,3,0,1.0,1.0,2,0,0,915,0,1221,0,0,16,0,16
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,8,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,8,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,8,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,8,4,-1,0.9677093844601413,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,8,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,8,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,8,4,-1,0.9162462159434914,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,8,4,0,0.9384460141271443,0.0,2,0,1030,310,0,0,0,40,40,0,0
adult,hybrid,BDS(iter_sampling=2000),max,5,8,4,0,0.9717457114026236,0.5409836065573771,2,109,244,0,0,0,40,11,0,0,0
adult,hybrid,BDS(iter_sampling=3000),max,5,8,4,0,0.9384460141271443,0.0,2,6,41,0,0,0,40,11,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,8,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,8,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,8,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,16,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,16,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,16,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,16,0,-1,0.9495459132189707,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,16,0,0,0.9384460141271443,0.0,5,1070,976,401,604,167,80,80,80,80,80
adult,hybrid,BDS(iter_sampling=2000),max,5,16,0,0,0.9384460141271443,0.0,5,1468,588,167,251,327,80,80,80,30,80
adult,hybrid,BDS(iter_sampling=3000),max,5,16,0,0,0.9334006054490414,0.0,5,6,659,1115,518,1609,80,80,80,80,80
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,16,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,16,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,16,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,16,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,16,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,16,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,16,1,-1,0.9495459132189707,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,16,1,0,0.9384460141271443,0.0,5,517,1622,310,717,279,80,80,80,80,80
adult,hybrid,BDS(iter_sampling=2000),max,5,16,1,0,0.9384460141271443,0.0,5,6,108,393,1114,1030,80,36,80,80,32
adult,hybrid,BDS(iter_sampling=3000),max,5,16,1,0,0.9384460141271443,0.0,4,6,775,917,0,1440,80,80,32,0,80
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,16,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,16,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,16,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,16,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,16,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,16,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,16,2,-1,0.9495459132189707,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,16,2,0,0.9384460141271443,0.0,4,548,594,0,35,417,80,80,0,30,80
adult,hybrid,BDS(iter_sampling=2000),max,5,16,2,0,0.6488395560040363,0.0,5,7,777,298,841,1267,80,80,80,80,80
adult,hybrid,BDS(iter_sampling=3000),max,5,16,2,0,1.0,1.0,5,110,105,913,519,1441,80,36,32,80,80
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,16,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,16,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,16,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,16,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,16,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,16,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,16,3,-1,0.9495459132189707,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,5,16,3,0,1.0,1.0,5,14,973,1082,132,1226,80,80,80,36,32
adult,hybrid,BDS(iter_sampling=2000),max,5,16,3,0,0.8960645812310797,0.0,5,977,923,342,1277,1358,80,80,80,80,80
adult,hybrid,BDS(iter_sampling=3000),max,5,16,3,0,0.9384460141271443,0.0,5,47,34,234,582,1214,80,22,80,80,32
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,16,3,0,1.0,1.0,2,20,0,0,35,0,80,0,0,30,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,16,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,16,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,5,16,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,5,16,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,5,16,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,5,16,4,-1,0.9495459132189707,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
