dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,max,10,3,0,-1,0.919454770755886,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,max,10,3,0,-1,0.8946716232961586,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,max,10,3,0,-1,0.8835192069392813,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,max,10,3,0,-1,0.8748451053283767,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),max,10,3,0,0,0.9058240396530359,0.8953488372093024,2,0,265,313,162,0,9,9,6
dog,hetero,BDS(iter_sampling=2000),max,10,3,0,0,0.9169764560099133,0.8953488372093024,3,0,284,37,271,0,7,0,8
dog,hetero,BDS(iter_sampling=3000),max,10,3,0,0,0.9442379182156134,0.8953488372093024,4,287,332,273,312,7,9,9,9
dog,hetero,Two-Step-MCMC(iter_sampling=1000),max,10,3,0,1,0.9157372986369269,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=2000),max,10,3,0,1,0.9157372986369269,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=3000),max,10,3,0,1,0.9157372986369269,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,max,10,3,1,-1,0.919454770755886,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,max,10,3,1,-1,0.8946716232961586,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,max,10,3,1,-1,0.8835192069392813,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,max,10,3,1,-1,0.8748451053283767,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),max,10,3,1,0,0.9182156133828996,0.8895348837209303,3,281,2,33,263,7,0,0,9
dog,hetero,BDS(iter_sampling=2000),max,10,3,1,0,0.9182156133828996,0.8895348837209303,3,284,2,37,262,7,0,0,9
dog,hetero,BDS(iter_sampling=3000),max,10,3,1,0,0.9157372986369269,0.8895348837209303,2,0,0,7,0,0,0,0,6
dog,hetero,Two-Step-MCMC(iter_sampling=1000),max,10,3,1,0,0.9169764560099133,0.8895348837209303,2,0,0,34,0,0,0,0,6
