dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,max,3,3,0,-1,0.8934324659231723,0.6046511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,3,3,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,3,3,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,3,3,0,-1,0.8228004956629492,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,3,3,0,0,0.9033457249070632,0.7151162790697675,3,33,215,225,0,12,6,6,0
dog,homo,BDS(iter_sampling=2000),max,3,3,0,0,0.7868649318463445,0.0,2,36,108,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=3000),max,3,3,0,0,0.7868649318463445,0.0,2,0,208,0,225,0,6,0,6
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,3,3,0,0,0.9070631970260223,0.7558139534883721,2,27,102,0,0,12,3,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,3,3,0,1,0.9083023543990086,0.7906976744186046,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,3,3,0,1,0.9070631970260223,0.7848837209302325,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,3,3,1,-1,0.8934324659231723,0.6046511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,3,3,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,3,3,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,3,3,1,-1,0.8228004956629492,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,3,3,1,0,0.7868649318463445,0.0,4,38,107,96,98,12,3,6,6
dog,homo,BDS(iter_sampling=2000),max,3,3,1,0,0.7868649318463445,0.0,2,36,108,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=3000),max,3,3,1,0,0.7868649318463445,0.0,2,21,103,0,0,12,3,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,3,3,1,1,0.9083023543990086,0.7906976744186046,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,3,3,1,0,0.909541511771995,0.7558139534883721,2,29,102,0,0,12,3,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,3,3,1,1,0.9070631970260223,0.7848837209302325,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,3,3,2,-1,0.8934324659231723,0.6046511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,3,3,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,3,3,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,3,3,2,-1,0.8228004956629492,0.6744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,3,3,2,0,0.7868649318463445,0.0,2,22,103,0,0,12,2,0,0
dog,homo,BDS(iter_sampling=2000),max,3,3,2,0,0.7868649318463445,0.0,2,33,109,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=3000),max,3,3,2,0,0.7868649318463445,0.0,3,0,227,224,246,0,6,6,9
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,3,3,2,1,0.9070631970260223,0.7848837209302325,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,3,3,2,1,0.9070631970260223,0.7848837209302325,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,3,3,2,1,0.9070631970260223,0.7848837209302325,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,3,3,3,-1,0.8934324659231723,0.6046511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,3,3,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,3,3,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
