dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,max,3,3,0,-1,0.9606164383561644,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,3,3,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,3,3,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,3,3,0,-1,0.9554794520547946,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,3,3,0,0,0.75,0.0,4,22,77,59,64,12,9,6,6
face,homo,BDS(iter_sampling=2000),max,3,3,0,0,0.6147260273972602,0.0,3,51,68,43,79,12,6,6,9
face,homo,BDS(iter_sampling=3000),max,3,3,0,0,0.9623287671232876,0.9657534246575342,3,31,68,0,65,12,6,0,6
face,homo,Two-Step-MCMC(iter_sampling=1000),max,3,3,0,1,0.9623287671232876,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),max,3,3,0,1,0.9623287671232876,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),max,3,3,0,1,0.9623287671232876,0.9794520547945206,0,0,0,0,0,0,0,0,0
face,homo,EMDS,max,3,3,1,-1,0.9606164383561644,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,max,3,3,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,max,3,3,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,max,3,3,1,-1,0.9554794520547946,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),max,3,3,1,0,0.75,0.0,4,34,67,35,64,12,6,3,6
face,homo,BDS(iter_sampling=2000),max,3,3,1,0,0.2191780821917808,0.0,2,60,0,60,58,9,0,9,9
