dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,mean,5,3,0,-1,0.7705479452054794,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,5,3,0,-1,0.6592465753424658,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,5,3,0,-1,0.6284246575342466,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,5,3,0,-1,0.6678082191780822,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,5,3,0,1,0.6917808219178082,0.9383561643835616,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,5,3,0,0,0.666095890410959,0.9315068493150684,4,54,56,57,67,9,9,10,8
face,homo,BDS(iter_sampling=3000),mean,5,3,0,0,0.6883561643835616,0.9383561643835616,2,0,61,66,0,0,11,11,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,5,3,0,1,0.6883561643835616,0.9383561643835616,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,5,3,0,1,0.6917808219178082,0.9383561643835616,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=3000),mean,5,3,0,1,0.690068493150685,0.9383561643835616,0,0,0,0,0,0,0,0,0
face,homo,EMDS,mean,5,3,1,-1,0.7705479452054794,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,mean,5,3,1,-1,0.6592465753424658,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,mean,5,3,1,-1,0.6284246575342466,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,TwoStep-EM,mean,5,3,1,-1,0.6678082191780822,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),mean,5,3,1,1,0.690068493150685,0.9383561643835616,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),mean,5,3,1,0,0.6746575342465754,0.9452054794520548,3,52,59,80,0,9,11,11,0
face,homo,BDS(iter_sampling=3000),mean,5,3,1,0,0.6712328767123288,0.9383561643835616,4,50,77,70,1,8,11,11,0
face,homo,Two-Step-MCMC(iter_sampling=1000),mean,5,3,1,1,0.690068493150685,0.9383561643835616,0,0,0,0,0,0,0,0,0
face,homo,Two-Step-MCMC(iter_sampling=2000),mean,5,3,1,1,0.6883561643835616,0.9383561643835616,0,0,0,0,0,0,0,0,0
