dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,-sigma,5,6,0,-1,0.821917808219178,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,-sigma,5,6,0,-1,0.684931506849315,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,-sigma,5,6,0,-1,0.6352739726027398,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,TwoStep-EM,-sigma,5,6,0,-1,0.6934931506849316,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),-sigma,5,6,0,0,0.7208904109589042,0.952054794520548,3,5,58,68,0,9,18,19,0
face,hybrid,BDS(iter_sampling=2000),-sigma,5,6,0,0,0.7482876712328768,0.952054794520548,4,68,67,11,6,17,14,0,0
face,hybrid,BDS(iter_sampling=3000),-sigma,5,6,0,0,0.7482876712328768,0.952054794520548,4,69,67,11,6,17,14,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,5,6,0,1,0.7328767123287672,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,5,6,0,1,0.7328767123287672,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,5,6,0,1,0.7328767123287672,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,-sigma,5,6,1,-1,0.821917808219178,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,-sigma,5,6,1,-1,0.684931506849315,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
