dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,homo,EMDS,mean,2,4,0,-1,0.9348,0.698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,mean,2,4,0,-1,0.7984,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,mean,2,4,0,-1,0.7968,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,TwoStep-EM,mean,2,4,0,-1,0.9796,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),mean,2,4,0,0,0.9808,1.0,3,243,363,330,505,323,20,19,18,20,15
tiny,homo,BDS(iter_sampling=2000),mean,2,4,0,0,0.9732,0.938,2,281,297,495,397,407,20,15,16,17,18
tiny,homo,BDS(iter_sampling=3000),mean,2,4,0,0,0.7948,0.002,3,25,450,155,147,416,20,16,15,13,14
tiny,homo,Two-Step-MCMC(iter_sampling=1000),mean,2,4,0,0,0.9912,0.996,0,0,0,155,137,0,0,0,15,14,0
tiny,homo,Two-Step-MCMC(iter_sampling=2000),mean,2,4,0,1,0.9924,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,Two-Step-MCMC(iter_sampling=3000),mean,2,4,0,0,0.9908,0.996,0,0,0,156,139,0,0,0,15,14,0
tiny,homo,EMDS,mean,2,4,1,-1,0.9348,0.698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,mean,2,4,1,-1,0.7984,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,mean,2,4,1,-1,0.7968,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,TwoStep-EM,mean,2,4,1,-1,0.9796,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),mean,2,4,1,0,0.7788,0.94,2,301,301,529,207,0,20,13,19,15,0
tiny,homo,BDS(iter_sampling=2000),mean,2,4,1,0,0.9784,0.948,3,39,4,338,321,313,20,0,14,16,15
tiny,homo,BDS(iter_sampling=3000),mean,2,4,1,0,0.6228,0.016,5,288,435,104,157,470,20,16,14,15,15
tiny,homo,Two-Step-MCMC(iter_sampling=1000),mean,2,4,1,1,0.992,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,Two-Step-MCMC(iter_sampling=2000),mean,2,4,1,1,0.992,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,Two-Step-MCMC(iter_sampling=3000),mean,2,4,1,1,0.992,0.996,0,0,0,0,0,0,0,0,0,0,0
