dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hetero,EMDS,mean,2,4,0,-1,0.9912,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,4,0,-1,0.9296,0.686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,4,0,-1,0.7936,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,4,0,-1,0.9792,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,4,0,0,0.8004,0.998,0,298,0,151,527,374,12,0,14,18,17
tiny,hetero,BDS(iter_sampling=2000),mean,2,4,0,0,0.9928,0.996,3,31,0,81,322,309,20,0,11,17,10
tiny,hetero,BDS(iter_sampling=3000),mean,2,4,0,0,0.7428,0.996,0,484,394,371,506,0,15,19,19,16,0
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,4,0,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,4,0,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,4,0,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,mean,2,4,1,-1,0.9912,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,4,1,-1,0.9296,0.686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,4,1,-1,0.7936,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,4,1,-1,0.9792,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,4,1,0,0.4004,0.976,2,367,385,410,461,301,9,19,18,19,11
tiny,hetero,BDS(iter_sampling=2000),mean,2,4,1,0,0.784,0.996,1,466,440,485,512,489,19,16,15,18,20
tiny,hetero,BDS(iter_sampling=3000),mean,2,4,1,0,0.9896,0.998,3,454,305,357,377,481,16,12,20,18,14
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,4,1,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,4,1,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,4,1,0,0.9924,0.998,0,0,0,150,144,0,0,0,14,13,0
tiny,hetero,EMDS,mean,2,4,2,-1,0.9912,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,4,2,-1,0.9296,0.686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,4,2,-1,0.7936,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,4,2,-1,0.9792,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,4,2,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=2000),mean,2,4,2,0,0.9924,0.998,0,302,304,379,145,301,12,12,19,13,13
tiny,hetero,BDS(iter_sampling=3000),mean,2,4,2,0,0.7972,0.998,4,419,302,103,154,581,17,13,13,12,19
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,4,2,0,0.9924,0.998,0,0,0,154,146,0,0,0,13,13,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,4,2,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,4,2,0,0.9924,0.998,0,0,0,148,144,0,0,0,14,13,0
tiny,hetero,EMDS,mean,2,4,3,-1,0.9912,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,4,3,-1,0.9296,0.686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,4,3,-1,0.7936,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,4,3,-1,0.9792,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,4,3,0,0.99,0.996,1,317,429,492,0,268,9,17,17,1,11
tiny,hetero,BDS(iter_sampling=2000),mean,2,4,3,0,0.916,0.996,3,315,303,182,478,310,20,13,14,20,10
tiny,hetero,BDS(iter_sampling=3000),mean,2,4,3,0,0.9824,0.996,0,314,0,299,513,369,8,0,12,18,18
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,4,3,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,4,3,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,4,3,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
