dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hybrid,EMDS,-sigma,2,8,0,-1,0.9628,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,-sigma,2,8,0,-1,0.82,0.322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,-sigma,2,8,0,-1,0.7704,0.066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,TwoStep-EM,-sigma,2,8,0,-1,0.9556,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),-sigma,2,8,0,1,0.9572,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,BDS(iter_sampling=2000),-sigma,2,8,0,0,0.958,0.99,2,283,0,291,0,0,29,0,28,3,0
tiny,hybrid,BDS(iter_sampling=3000),-sigma,2,8,0,0,0.9528,0.996,1,0,224,0,287,409,0,30,9,29,37
tiny,hybrid,Two-Step-MCMC(iter_sampling=1000),-sigma,2,8,0,1,0.9568,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=2000),-sigma,2,8,0,1,0.9572,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=3000),-sigma,2,8,0,1,0.9572,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,EMDS,-sigma,2,8,1,-1,0.9628,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,-sigma,2,8,1,-1,0.82,0.322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,-sigma,2,8,1,-1,0.7704,0.066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,TwoStep-EM,-sigma,2,8,1,-1,0.9556,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),-sigma,2,8,1,1,0.9568,0.996,0,0,0,0,0,0,0,0,0,0,0
