dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,CBCC_C=2,-sigma,5,4,0,-1,0.7870837537840565,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,4,0,-1,0.7971745711402624,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,4,0,-1,0.7820383451059536,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,4,1,-1,0.7870837537840565,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,4,1,-1,0.7951564076690212,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,4,1,-1,0.7800201816347124,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,4,2,-1,0.7870837537840565,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,4,2,-1,0.781029263370333,0.6229508196721312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,4,2,-1,0.7820383451059536,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,4,3,-1,0.7870837537840565,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,4,3,-1,0.7971745711402624,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,4,3,-1,0.781029263370333,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,4,4,-1,0.7870837537840565,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,4,4,-1,0.7941473259334006,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,4,4,-1,0.7800201816347124,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,8,0,-1,0.9041372351160444,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,8,0,-1,0.9031281533804238,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,8,0,-1,0.9212916246215943,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,8,1,-1,0.905146316851665,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,8,1,-1,0.900100908173562,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,8,1,-1,0.905146316851665,0.7704918032786885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,8,2,-1,0.9041372351160444,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,8,2,-1,0.9031281533804238,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,8,2,-1,0.900100908173562,0.7868852459016393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,8,3,-1,0.8990918264379415,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,8,3,-1,0.9031281533804238,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,8,3,-1,0.875882946518668,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,8,4,-1,0.9071644803229062,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,8,4,-1,0.9031281533804238,0.6885245901639344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,8,4,-1,0.8748738647830474,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,12,0,-1,0.9576185671039354,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,12,0,-1,0.9626639757820383,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,12,0,-1,0.9616548940464178,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,12,1,-1,0.9576185671039354,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,12,1,-1,0.9576185671039354,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,12,1,-1,0.958627648839556,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,12,2,-1,0.9576185671039354,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,12,2,-1,0.958627648839556,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,12,2,-1,0.958627648839556,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,12,3,-1,0.9576185671039354,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,12,3,-1,0.963673057517659,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,12,3,-1,0.958627648839556,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,12,4,-1,0.9616548940464178,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,12,4,-1,0.958627648839556,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,12,4,-1,0.9596367305751766,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,16,0,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,16,0,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,16,0,-1,0.9949545913218971,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,16,1,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,16,1,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,16,1,-1,0.9959636730575177,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,16,2,-1,0.8789101917255298,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,16,2,-1,0.9949545913218971,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,16,2,-1,0.9909182643794148,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,16,3,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,16,3,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,-sigma,5,16,3,-1,0.9959636730575177,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,-sigma,5,16,4,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,-sigma,5,16,4,-1,0.9899091826437941,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
