dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,CBCC_C=2,-sigma,10,3,0,-1,0.4857496902106567,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,3,0,-1,0.48451053283767037,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,3,0,-1,0.48698884758364314,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,3,1,-1,0.4275092936802974,0.9534883720930233,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,3,1,-1,0.48451053283767037,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,3,1,-1,0.48698884758364314,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,3,2,-1,0.4857496902106567,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,3,2,-1,0.4882280049566295,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,3,2,-1,0.48698884758364314,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,3,3,-1,0.4857496902106567,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,3,3,-1,0.4857496902106567,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,3,3,-1,0.48698884758364314,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,3,4,-1,0.4857496902106567,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,3,4,-1,0.4857496902106567,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,3,4,-1,0.48946716232961585,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,6,0,-1,0.12763320941759604,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,6,0,-1,0.4708798017348203,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,6,0,-1,0.46964064436183395,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,6,1,-1,0.4770755885997522,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,6,1,-1,0.5353159851301115,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,6,1,-1,0.4684014869888476,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,6,2,-1,0.12763320941759604,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,6,2,-1,0.5254027261462205,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,6,2,-1,0.4560099132589839,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,6,3,-1,0.7050805452292441,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,6,3,-1,0.3990086741016109,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,6,3,-1,0.8760842627013631,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,6,4,-1,0.12763320941759604,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,6,4,-1,0.12763320941759604,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,6,4,-1,0.872366790582404,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,9,0,-1,0.5390334572490706,0.10465116279069768,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,9,0,-1,0.40024783147459725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,9,0,-1,0.39281288723667906,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,9,1,-1,0.3915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,9,1,-1,0.24287484510532836,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,9,1,-1,0.3965303593556382,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,9,2,-1,0.6592317224287485,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,9,2,-1,0.5390334572490706,0.10465116279069768,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,9,2,-1,0.39281288723667906,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,9,3,-1,0.7273853779429987,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,9,3,-1,0.3915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,9,3,-1,0.3952912019826518,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,9,4,-1,0.8996282527881041,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,9,4,-1,0.7273853779429987,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,9,4,-1,0.40644361833952913,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,12,0,-1,0.2379182156133829,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,12,0,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,12,0,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,12,1,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,12,1,-1,0.2379182156133829,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,12,1,-1,0.5030978934324659,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,12,2,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,12,2,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,12,2,-1,0.24039653035935563,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,12,3,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,12,3,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,12,3,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,12,4,-1,0.23915737298636927,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,12,4,-1,0.2379182156133829,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,12,4,-1,0.24039653035935563,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,15,0,-1,0.23296158612143741,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,15,0,-1,0.23296158612143741,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,15,0,-1,0.9603469640644362,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,15,1,-1,0.4944237918215613,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,15,1,-1,0.4770755885997522,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,15,1,-1,0.48698884758364314,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,15,2,-1,0.4944237918215613,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,15,2,-1,0.23296158612143741,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,15,2,-1,0.23172242874845106,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,15,3,-1,0.4944237918215613,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,15,3,-1,0.23296158612143741,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,15,3,-1,0.23048327137546468,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,15,4,-1,0.49566294919454773,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,15,4,-1,0.4944237918215613,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,15,4,-1,0.6158612143742255,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,18,0,-1,0.9566294919454771,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,18,0,-1,0.9752168525402726,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,18,0,-1,0.9752168525402726,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,18,1,-1,0.9454770755885997,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,18,1,-1,0.9702602230483272,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,18,1,-1,0.9727385377942999,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,18,2,-1,0.9628252788104089,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,18,2,-1,0.9702602230483272,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,18,2,-1,0.9702602230483272,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,18,3,-1,0.9603469640644362,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,18,3,-1,0.9640644361833953,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,18,3,-1,0.9752168525402726,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,18,4,-1,0.9454770755885997,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,18,4,-1,0.9677819083023544,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,18,4,-1,0.9714993804213135,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,21,0,-1,0.929368029739777,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,21,0,-1,0.9838909541511772,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,21,0,-1,0.9814126394052045,0.936046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,21,1,-1,0.929368029739777,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,21,1,-1,0.9244114002478315,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,21,1,-1,0.9838909541511772,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,21,2,-1,0.929368029739777,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,21,2,-1,0.9838909541511772,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,21,2,-1,0.9838909541511772,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,21,3,-1,0.929368029739777,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,21,3,-1,0.9838909541511772,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,21,3,-1,0.9789343246592317,0.9244186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,21,4,-1,0.929368029739777,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,21,4,-1,0.9107806691449815,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,21,4,-1,0.9838909541511772,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,24,0,-1,0.9851301115241635,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,24,0,-1,0.9479553903345725,0.7616279069767442,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,24,0,-1,0.9863692688971499,0.9476744186046512,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,24,1,-1,0.966542750929368,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,24,1,-1,0.9913258983890955,0.9767441860465116,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,24,1,-1,0.9851301115241635,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,24,2,-1,0.966542750929368,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,24,2,-1,0.9925650557620818,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,24,2,-1,0.9863692688971499,0.9476744186046512,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,24,3,-1,0.9851301115241635,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,24,3,-1,0.9306071871127634,0.6802325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,24,3,-1,0.9876084262701363,0.9534883720930233,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,24,4,-1,0.9851301115241635,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,24,4,-1,0.9913258983890955,0.9825581395348837,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,24,4,-1,0.9888475836431226,0.9709302325581395,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,-sigma,10,27,0,-1,0.4225526641883519,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,-sigma,10,27,0,-1,0.9727385377942999,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,-sigma,10,27,0,-1,0.9962825278810409,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
